"G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100"
"2206",0,0,0,0,0,0.0155399,0.5122019,0.6125091,0.0145614,0.6684389,0.0302035,0.6737679,0.6277218,0.6825322,0,0.5863345,0.7904273,0.6391811,0,0.6863131,0,0,0.6604199,0.5365401,0.0485095,0.0107949,0,0.6460265,0.0325052,0.0825569,0.6843846,0.5936577,0.0318053,0,0,0.1400245,0.0291698,0,0.6637812,0.7432285,0.5397928,0.6608512,0.5513975,0,0,0.7960242,0.5673479,0.6585732,0.5925366,0.7014087,0.0627311,0.0228583,0,0,0.2637412,0,0.3695921,0.378929,0.2120339,0,0,0.3285246,0.4982401,0.4978743,0.3130631,0.1198818,0.0990912,0,0.5903842,0.5176983,0.0290459,0,0.0249301,0.6187226,0,0.5195723,0.1261584,0,0.6195428,0.6803447,0,0.0885723,0.581488,0.0170641,0.6805086,0.662868,0.6148493,0.6400967,0,0.0022388,0.0702667,0,0.6089327,0.2381192,0.6770692,0,0,0.6350645,0.6732121,0.1507951
"2208",0,0,0,0,0.7074531,3.29e-05,0,0,0,0.5834361,0,0.6927772,0,0.5869759,0,0.666632,0.689881,0,0,0.6332084,0.6062444,0.0411655,0,0,0.0484596,0,0.3637754,0.5797108,0.0293217,0.0613937,0.6683773,0,0.0760876,0.6335258,0,0,0,0.6718498,0.7197363,0,0.6665604,0,0.6555337,0.3521839,0.5041322,0.6003351,0,0.5296597,0.6859802,0,0.0454796,0.0264103,0.5891117,0,0,0.1336646,0.607592,0.1636872,0,0.0514007,0.1607158,0,0,0,0.1862206,0,0.0850957,0.0685501,0,0.4641864,0.0058813,6.38e-05,0.0386755,0.7267688,0.5406282,0,0,0.0434007,0,0,0,0,0,0.0332195,0.5601831,0,0,0.6863109,0.5040394,0.0001716,0.0985933,0.5549409,0.6126837,0,0.6039843,0.6157152,0.0940138,0.7884639,0.569876,0
"2210",0,0,0,0.1463349,0.6270426,0,0.5232163,0.6102125,0.0202289,0.684693,0,0,0.6607992,0.7565178,0,0.5597351,0,0,0.0173453,0.6999594,0,0,0.6004726,0.7109834,0.0521305,0,0.1266505,0,0.0333152,0,0.5697676,0.1528228,0.229753,0,0,0.0882196,0,0.565905,0.6566885,0.6449949,0.7025014,0.6578694,0.6683077,0.46179,0.6718785,0.4483886,0,0.6383532,0.6045637,0,0.0662477,0.0272962,0.6755088,0.6094613,0,0,0.5207217,0.1490016,0.2669102,0,0.1483262,0.4501322,0.5929387,0.4740607,0,0.2797849,0,0.0535862,0.4893545,0,0.0058718,0,0.0259906,0,0,0,0.0742945,0,0,0.61301,0.016122,0.0713355,0.6173285,0.0457835,0,0.1119855,0,0.5504964,0.6283257,0.0028736,0.0500116,0,0.7700638,0.313432,0,0,0.0800076,0,0,0
"2212",0,0.0370251,0.4888801,0.1508505,0,0.0001351,0,0.6483518,0.008862,0.6649536,0,0,0.5870632,0.5698628,0.0320968,0.7032107,0,0,0.0329907,0.4799465,0,0.0609614,0.5336564,0,0,4e-07,0,0.6262359,0.0477562,0.0569131,0,0.1918737,0.1726483,0.5909829,0.7252455,0.062226,0,0,0.6788568,0.6235244,0.6107901,0.6630566,0.5718544,0.3728558,0.5431268,0.3658185,0,0.5712442,0.6284676,0.6886845,0.0760152,0.028912,0.6043725,0.6315096,0.0655659,0,0.51655,0.1432506,0,0.1207106,0.1253161,0.4617621,0.4905228,0.5429341,0,0.3138391,0.0749142,0.0401118,0.6488362,0.4675702,0,6.02e-05,0,0,0.5777865,0,0,0.0513991,0.4164688,0.6247492,0.0053646,0.0673288,0.6074462,0.0354195,0.6865342,0.1172181,0,0.6489736,0.5351624,0.0021871,0.0862023,0.4810308,0.6064275,0,0.6257714,0,0.0581462,0.487201,0.7634745,0.1375708
"2214",0,0.0110494,0.5699583,0.0808764,0,0.001632,0.6629568,0.6554477,0,0.5931282,0.0426146,0,0,0.5894661,0.1038345,0,0,0.6156083,0.0652516,0.7098771,0.5848556,0,0.6608899,0.6352815,0,0,0.205902,0,0.0610534,0,0.7042075,0,0.1351384,0,0.5723705,0.0439147,0.0334879,0,0,0,0.6450334,0.6407188,0,0,0,0.4744294,0,0.6579468,0.5134907,0,0.0570212,0.027771,0.6560956,0,0,0.2183183,0,0,0.477082,0.1208152,0,0.4713006,0.3772158,0.6535899,0.2853471,0.5080671,0.0895468,0,0.6040143,0,0.0174944,0,0.0482076,0,0.6484017,0.6584052,0.0795113,0.0178546,0.4015533,0,0.0158344,0.0418689,0.5933374,0.0354649,0,0.1126818,0.4602548,0.6540301,0,0.0008952,0.0652597,0.4219199,0.6642837,0,0.5610571,0,0.0426789,0.6540781,0.6705859,0.0547422
"2216",0.0093469,0.0226026,0.5214008,0,0.6046097,0,0,0.6867007,0.0231217,0.6301522,0.0608988,0.5439702,0.6021295,0.5366543,0.0215026,0.5682148,0.6693858,0,0,0,0.4895237,0.0930426,0.7293492,0,0,7.23e-05,0,0.7254703,0.0375172,0.0894224,0.578413,0.1295502,0.1330445,0.609394,0,0,0.009648,0.5378455,0,0.6735776,0,0.5882156,0,0,0.6781626,0,0.3086036,0,0.5935722,0,0.0839587,0.0368475,0.6632827,0,0,0.2014391,0.4004442,0,0.4087936,0.0875531,0,0.5081697,0,0.7001947,0.3400697,0.5554266,0,0,0,0.4422142,0.0044527,0.0001732,0.0051244,0.6201404,0.6850877,0.5870207,0.1219326,0.0318058,0,0.723775,0.0060125,0.0461802,0.7190444,0,0.6860316,0,0,0.6470841,0.527685,0,0.0580947,0.5228395,0.6642138,0.2914676,0,0.4636177,0,0.6909557,0,0
"2218",0.0490089,0.0074877,0,0.0540578,0.7208757,0,0.5681617,0.6489035,0.0147585,0.5960879,0.0574531,0.667331,0,0.6628698,0.0159113,0.4654427,0.6629739,0,0,0.6003396,0.4449647,0.1004,0.655787,0,0.047897,0,0,0.6250673,0.0357777,0,0,0.6312897,0.079872,0.6719261,0.6695889,0.1029701,0,0,0.6867652,0,0,0.6962223,0.6464346,0,0,0,0,0.5573111,0,0,0.0745151,0.0480871,0.6510311,0.6439743,0.2809424,0.1440051,0.3431909,0,0,0.043692,0.1180794,0.3485091,0.4709215,0,0,0,0.0944826,0,0.734763,0.4930552,0.0242428,0,0,0.7201969,0.6200581,0.4988993,0,0,0.7022364,0,0,0.0529429,0.5843284,0.0450224,0,0,0,0.6911403,0,0.0045909,0,0.5604837,0.6177152,0.2354322,0,0,0,0.6151811,0,0
"2220",0,0.0223161,0,0.0250685,0,0,0.6141149,0.7192115,0,0.6971452,0.0188816,0.4803148,0,0.682581,0,0.6044801,0.7587536,0,0,0.6573984,0.5516035,0.0638928,0.709429,0.6670144,0.0267056,0.0258201,0,0.6663832,0,0.0155849,0.6924935,0,0.0420868,0.7159018,0,0,0,0.7583306,0.6754995,0.702086,0,0.6209246,0.6206535,0.4145506,0,0.7207726,0,0,0.6502856,0.5822351,0.0746613,0,0.6902749,0.597201,0.454377,0.0954979,0.3947867,0.1167344,0.2320953,0.0366916,0.1705341,0.3438733,0.6511099,0.374623,0,0,0.0649474,0.392199,0.7992,0,0.0116664,0,0.0224288,0.6079129,0,0,0.066161,0.0441135,0.6090616,0.675592,0.0013518,0.0276274,0.5636456,0,0.5988645,0.6492436,0.6298709,0.5939774,0.5777398,0,0.0688085,0,0.6704899,0.2705249,0.6183604,0,0.030682,0.563511,0.4382228,0.098547
"2222",0,0,0,0,0.530907,0,0.5884231,0.7365052,0.0095296,0.5629008,0,0.6193734,0.7225055,0,0,0,0.6442997,0.6347987,0,0,0,0,0.5472338,0,0,0.0079369,0.4522202,0.5327939,0.0476835,0.0782181,0,0.5926016,0.0457866,0.5632477,0,0,0,0.7899682,0.6475627,0,0,0.6790469,0.6100624,0,0.7189333,0.5370521,0,0.5711785,0,0.5661101,0,0,0.72128,0.6282829,0,0.0612288,0,0,0.1073573,0.03607,0,0.3963898,0,0,0,0.0730916,0.1090066,0,0.6960701,0.4254502,0.0123116,0.0415654,0.0552286,0,0.623437,0,0.0605391,0.0597519,0,0.6375468,0.0067051,0.0890547,0.5291794,0.0386332,0.8178965,0.5684689,0.6422043,0.5510243,0,0.0024616,0.0653336,0,0.5970364,0,0.6316502,0,0,0.6273371,0,0.1212535
"2224",0,0.0256208,0.4338001,0.1214883,0.7165714,0,0.6328887,0.5752267,0.0104136,0,0,0.5092269,0.6986938,0.5757815,0.0258323,0.6405273,0.6767555,0,0.0338911,0.6648412,0.562221,0.0774198,0.7121674,0.5602032,0.0065928,0,0.4861905,0,0.0306967,0,0,0.6464704,0,0.7153174,0.6967031,0.0492919,0.0062177,0.5314529,0.730711,0,0.6653095,0.553757,0,0.4264153,0,0.6649839,0.6968284,0.6795517,0.6029437,0,0.0335118,0,0.608822,0.669447,0,0.1343709,0,0.3366006,0.2847617,0,0,0,0.4509988,0,0.2039107,0.1331146,0,0,0,0.4828137,0,0.0415235,0.0131106,0.7832539,0.7475654,0.681383,0.0789142,0.0572993,0.5756752,0,0.0186264,0.0607283,0.5542961,0,0,0.5617692,0.5945183,0.6399851,0.6535435,0.0053809,0.0655302,0.5783469,0.7292513,0.2881528,0.5387415,0.7455576,0,0.6378923,0.5867475,0.091091
