"G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100"
"3403",0.0327726,0,0,0.060988,0.7112117,0.0140125,0.5385911,0,0.0130381,0.644579,0.0372825,0.6155261,0.7200637,0.5513082,0.008155,0.5726824,0.6842699,0.6101523,0.0286156,0,0,0.0489401,0.5768278,0.6704918,0,0.0206717,0.4828973,0,0.0290775,0.045543,0.619083,0.675381,0.0372397,0.6110598,0,0.0706899,0.0178004,0.6925687,0.6502127,0.6121796,0,0,0.692433,0.3670144,0.595727,0,0,0.6634971,0.7263984,0,0.1144993,0.0175805,0.7755677,0.5864164,0.2282364,0.1245314,0.376317,0.2816277,0.1945398,0,0.1078814,0.2913713,0.5218719,0.5272167,0.2223201,0,0.1046575,0.4565141,0,0.4684709,0.016804,0.0412845,0,0.5985525,0.7017503,0.7135494,0,0.0407364,0.508639,0.6100983,0.0030093,0.0961001,0,0.0560374,0.6910879,0.6583822,0.6302463,0.6322518,0.4916957,0.0017461,0.0677795,0.5256661,0.6355126,0.2704719,0,0.6830117,0.0491338,0.5727056,0,0.1099413
"3407",0.0326996,0.0019648,0.1258997,0.0746589,0.6263931,0,0.6228505,0.5316596,8.09e-05,0,0.0475278,0.5640538,0.5939238,0.5615485,0.0013074,0.1047645,0.5274279,0.3014649,0,0.6061339,0.4980886,0.0365289,0.7726935,0,0.0350089,0.0165405,0.4850717,0.6865222,0.6665038,0.0717947,0.6726909,0.1695591,0.139604,0.1062809,0.598989,0,0.0706765,0.589752,0.6413093,0.6628692,0.611712,0.6242538,0.6483684,0.6226227,0.6706366,0.8090882,0.59494,0,0.6521874,0.6593022,0.0538323,0.0046035,0.5902635,0.6558385,0.3259237,0.2075266,0,0,0.0288727,0.4879538,0.0206864,0.784157,0,0.5758331,0.5717924,0.7682704,0.0559872,0.0885696,0.7611569,0.7428681,0.0249397,0.0359743,0,0.7072798,0,0.5206508,0.1362875,0,0.7777524,0.7761879,0.0102428,0.0100116,0,0.0824704,0.6743399,0.5400424,0.6124884,0.6932603,0,0.0324705,0.0073595,0,0.6512515,0,0,0.6558211,0.0908489,0,0,0.101401
"3411",0.001413,0,0,0,0.7119806,0,0,0.6538351,0,0.716145,0.0654413,0.5427739,0.6709828,0.7317749,0,0.0886398,0.4745251,0,3.09e-05,0.6143836,0.5890162,0.0350566,0.5843732,0.5733845,0,0.0017718,0.450879,0.6359246,0.5456133,0.0901107,0.5541806,0,0.1236867,0.0725521,0,0.0010805,0.0875604,0.6812483,0.4746725,0,0.5766924,0.6204012,0,0.5174465,0,0.6407138,0,0.5424802,0,0.6620708,0.0272235,0.0035422,0,0.4844345,0.6794801,0.2391887,0.3836204,0,0.0027373,0.4035733,0,0.5771472,0.0802079,0.5450661,0.6375476,0.6670028,0,0,0.5992021,0.6176016,0.0096112,0.0260979,0.0258785,0.7124271,0.6483376,0.7482454,0.1125803,0.0143941,0,0.5109802,0.0031979,0.0080835,0.7135322,0.0305769,0,0.5541217,0.5629204,0.5658791,0,0.0298802,0,0,0,0.2530392,0.7250144,0.7420772,0,0.638462,0.4697147,0
"3415",0.007877,0,0,0.0355248,0,0.0121491,0.5894777,0,0,0.6224288,0,0,0.6098007,0.576677,0.0025881,0,0.6530228,0.5813496,0,0.6475157,0,0,0.7035076,0.6936775,0,0,0.4172448,0.6945371,0,0.0626021,0.7041609,0.5215295,0.0633998,0.4866563,0.5959143,0.0690354,0,0,0.5812667,0.5984396,0.4669676,0.7218394,0.6248694,0,0.5511236,0,0.6316275,0.6346972,0.6876132,0.7217117,0.0459387,0.0152526,0.7394683,0.5316177,0.3800387,0.1783679,0.3857264,0.0868888,0.0029458,0,0,0.5886971,0,0.6205574,0.4797829,0.693961,0.1191858,0,0.693469,0.511142,0.0181143,0.0093574,0.0333013,0,0,0.7645948,0,0.0473542,0.6809311,0.5990316,0,0,0,0.0285387,0.6612013,0.5361223,0.5758361,0.58724,0.6149711,0.0018084,0.0876732,0.5028127,0.7824512,0,0.5202019,0.6619774,0.0459537,0,0,0.0766164
"3419",0.0580136,0,0.4059683,0.0678479,0,0.0142327,0.6449502,0.7369642,0.0229297,0.6296841,0.0244742,0,0,0.6553548,0,0.612838,0.7085017,0.5174497,0.0202548,0.6756377,0,0.0499699,0.6474404,0,0,0.0052445,0,0.6637478,0,0.063345,0.7032083,0.7308485,0.0510156,0.6315565,0.68319,0.0668549,0.019276,0.6890418,0.6838024,0.5538874,0.5687633,0,0,0.4226388,0,0.6879459,0.6583495,0,0.6587437,0.6835851,0.0621129,0.0280134,0.6484998,0.6287472,0,0.0632824,0.500682,0.2806841,0.3281036,0.0532849,0.1915764,0.1966497,0.533981,0.2812235,0,0.040216,0,0.3829889,0,0.403262,0.0182159,0.0383413,0,0.6224546,0.8195004,0.6442116,0.0713028,0,0,0.6568533,0.0059721,0,0,0.0117721,0.613429,0.6549841,0.5681932,0,0.4084094,0.0019364,0.067709,0.5360443,0.6018153,0.2985959,0.5771876,0.6527608,0,0.6297254,0.6388935,0.1474943
"3865",0,0.0081771,0.1048179,0.0879404,0.7361527,0.011779,0,0.5681138,0.0155426,0,0.0698466,0,0.720209,0.6087433,0,0.7070268,0.6949348,0.6593171,0.0234255,0,0.4939421,0.0694989,0.5831029,0.6201448,0.0394805,0.016011,0.5239707,0.57094,0,0.0396283,0.6629714,0.6168576,0.0381206,0.6701185,0.6663619,0.0851563,0.0213097,0.6650339,0.6919118,0,0.6008346,0.6240383,0.6214074,0.4125491,0.7066271,0.7094324,0.5371671,0.6402022,0,0,0.0607291,0.0407573,0.6980687,0.6801882,0,0,0.3581728,0.2741019,0.1430516,0.0738297,0.0925695,0.3206786,0.6206264,0,0,0.1281084,0,0.3834792,0.6449424,0.4362524,0.0082438,0.0418431,0.0317225,0.6155005,0.7957373,0,0.1093544,0,0.552841,0.6065042,0,0.0876317,0,0,0.6141052,0.7402341,0.5844078,0.596245,0.5615673,0,0,0.6093172,0,0.2099255,0,0.7938129,0.0508931,0.5862758,0.7011425,0.1007806
"3869",0.3381844,0.2168212,0.5934547,0.1902335,0,0,0.6208228,0.5458424,0,0.6270249,0.0090152,0.5365379,0.6640616,0.6182517,0.4012812,0,0,0.6872643,0,0.0950802,0.5151993,0.3464048,0.5983555,0.6219878,0.0182203,0,0.5094424,0.7005881,0,0.4300848,0,0.7251212,0.0442373,0,0.4782777,0.0380675,0.0165208,0.6997478,0.6341737,0,0.688035,0.6753089,0.6999187,0.4260117,0.4944783,0.5604937,0.700177,0.6075907,0.5075578,0,0.148314,0.0066766,0,0,0,0.3974084,0.1353206,0.0669104,0.4967744,0.5933149,0,0.5692637,0.1728757,0.7029245,0.5728223,0.6446986,0.0001988,0.0827342,0.6719332,0.549665,0.0066724,0.0006087,0,0,0,0.5838013,0,0.037395,0,0,0.0496434,0.1847094,0.5056283,0.2179404,0.6495959,0.7054663,0.6369103,0.0897515,0,0.2881951,0.1086581,0,0.5764794,0.0282859,0,0.5976864,0.1330245,0.6063196,0.6697636,0.1478007
"3873",0.527738,0.3887371,0.6490868,0.1918035,0.7039351,0.011195,0.6449387,0.5951735,0,0.6780181,0,0.5167489,0.6125885,0,0.4979415,0.5535213,0.5837634,0.7146416,0,0.1019988,0.6075663,0.3188915,0.6136771,0,0.0319784,0.0142545,0.5180079,0.5326483,0,0.5489844,0,0,0.0294655,0.719962,0.4661614,0.0742059,0,0.6292425,0.5830495,0.5092057,0.5897068,0,0.6194605,0.4758837,0.6595935,0.7041031,0.6704545,0.5720712,0,0.6011296,0.1763231,0.0182605,0.6678226,0,0,0.5651914,0,0,0.5983825,0.561,0.0230611,0.3370014,0,0.6103476,0.5518625,0.5842044,3.94e-05,0.0412902,0.5916647,0,0,0.0016871,0.0453978,0.6438982,0.6775319,0.7291379,0.0439039,0.0386101,0,0.5983213,0.0537979,0.2472724,0.4879408,0.2138095,0.6628797,0.652461,0.6515132,0.1082921,0,0.3925311,0.1325703,0.5164697,0.4235482,0,0.6219533,0.7376437,0.0992685,0,0.5998994,0.1301433
"3877",0.5512028,0.1095754,0.7495866,0.1753046,0,0.0179463,0.61807,0.502226,0.0340492,0.6207164,0,0.4961322,0.6129462,0.4583659,0.5324747,0.6541433,0.5361791,0.6958764,0,0,0.5758952,0.0949321,0,0,0.0421366,0.0077097,0.5128211,0,0.0425178,0.307565,0.5777464,0.6494842,0.0417424,0.6993204,0,0.163936,0,0.7063326,0.7239093,0.7950073,0.6784662,0.5925637,0.673816,0.3777505,0.7344037,0.5833661,0.595034,0.449004,0.592489,0,0.0694714,0.0179146,0.7182735,0.6160827,0,0.6548022,0.0746851,0.6371143,0.6286476,0.5738576,0,0.4387777,0.1674289,0.6223377,0.553771,0.6484125,0,0.0806997,0.6713082,0.2473014,0.0180766,0.035642,0.011537,0.5092205,0.7653986,0.6814263,0,0.0432317,0,0.5316184,0.021038,0.0928515,0,0.0584105,0.6241553,0.6934529,0.626185,0.6096795,0,0.0186165,0.0772017,0.3364514,0.6668756,0.2467424,0,0.7789753,0.062003,0,0.5740976,0.1087351
"3881",0.1668853,0.0202769,0.6303756,0.135708,0.5679238,0.0144368,0,0.6547571,0.0079805,0,0.0232384,0,0.6378657,0.6805639,0.2322707,0.619571,0.6854506,0.6408464,0.0125391,0.7029727,0.6195313,0.0933268,0,0,0.041449,0.0222422,0,0,0.0236807,0,0.6111548,0.7775785,0.0442204,0.7305197,0.6805949,0.054047,0.0071729,0.6738943,0.6153517,0,0,0.6055986,0,0.4410022,0.537488,0.5836043,0.6354509,0,0.6539356,0,0.0610096,0.0156859,0.625943,0.6323538,0,0.5412594,0.1318512,0.5743341,0.7571941,0.1758128,0.0211911,0.4371738,0.2214291,0.6096508,0.4702667,0.6222375,0.0965142,0.0675767,0.675405,0.3116012,0.0414575,0,0.0177222,0,0.6944984,0,0.0699807,0.0367215,0.7683881,0.5874626,0.0192241,0.0585902,0.6010104,0.018289,0.5956144,0,0.5246081,0,0.4819045,0,0.109283,0.5273308,0,0,0,0.6125146,0,0.6382685,0,0.1260863
