"G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100"
"526",0.0976034,0,0,0.07776,0.3363181,0.1453849,0.4552896,0.5493102,0.6878079,0.4508698,0.0001235,0.5412812,0,0,0.6948097,0,0.6106352,0,0,0.377611,0.7127689,0.0361883,0.0425554,0.377864,0.0541666,0.5847223,0.4768863,0,0,0.5817741,0.6281278,0.0351876,0.2898472,0.2870689,0.1230434,0.6536482,0.0274064,0.5640397,0.4732377,0.6203142,0.0458914,0.7055613,0.7285646,0.0477399,0.6103415,0,0.0024524,0.4738417,0.4851754,0.5729815,0,0.4112208,0.6032439,0.7408492,0.6028697,0.5679123,0.6029972,0,0.4410159,0,0.0263375,0,0,0,0.6528632,0.5106713,0,0,0.6547711,0.1482616,0.0046014,0.6175184,0,0,0.7261664,0,0.4136137,0,0,0,0.0209038,0,0.6720806,0,0.5013622,0.3466482,0.5896539,0,0.0376006,0,0.4993745,0,0,0.2335901,0.4021276,0,0.5756978,0,0.028294,0.2623186
"530",0,0,0,0,0.4300367,0.191226,0.5149708,0.1586514,0.5764284,0.4783121,0.0018057,0,0,0,0.5604461,0.0568703,0,0.0002505,0,0.3915624,0.6115219,0.0490612,0.0720667,0,0.0290328,0.6351965,0.5331483,0.1815232,0,0.7025001,0.5768784,0.0508809,0.0098305,0.0132967,0,0,0,0,0.5655805,0.59097,0,0.619795,0,0.0782951,0,0.6944362,0.0002895,0.4410347,0,0,0.566478,0,0,0,0.6851663,0.591532,0.6089361,0,0,0,0.1829823,0.3457736,0.3726683,6.62e-05,0,0.6058594,0.6219216,0,0.6172033,0,0,0,0.5619698,0,0.6625948,0.2851076,0.1144231,0.5563905,0,0.1900982,0.0165042,0.3693127,0.2526455,0.5782002,0.4087041,0,0,0.1819049,0.0060774,0.004021,0.6857455,0.5774807,0.0218348,0.2753471,0.3856009,0.5750695,0,0.571444,0,0.308131
"534",0,0.3238732,0,0.0113049,0.3051121,0.182359,0.7470853,0,0.6330552,0.4292348,0,0.5490029,0.6888366,0.5017953,0.6436088,0.062568,0,0,0.6698545,0,0.6304238,0.0171468,0.0464939,0,0.0561036,0,0.6464931,0.1725201,0.238459,0.5281285,0,0.0398379,0.0006795,0,0,0,0,0.2637391,0.6620093,0.6782774,0,0.7400922,0.674666,0,0,0,0,0,0.452533,0,0,0,0,0,0.6311923,0.5598047,0.5553974,0,0.4059391,0,0.1856156,0,0.4639323,0,0.5859653,0.5113593,0.5893874,0,0,0,0.0009079,0.5979063,0.6936032,0.0724963,0,0.2698823,0.0868633,0.4023353,0,0.1960613,0.0863217,0.4033233,0,0.6056334,0.5592027,0.3516269,0.7227234,0.3043111,0.001088,0.0004218,0.5627517,0.6241844,0,0.2906191,0.3867369,0.5423867,0,0.6697273,0,0
"538",0.0957519,0,0.5656422,0,0.3229173,0.704625,0.4837873,0.4673925,0.7905707,0.6543082,0,0.5515636,0.7166905,0.5177616,0.4927188,0.0672712,0,0,0,0.3653176,0.5674196,0.0555054,0.0271169,0,0.0454557,0,0.553674,0.0747481,0.2643749,0.7234524,0.540921,0.0243028,0,0.1034898,0.4127188,0.2002862,0.0056948,0,0.6042778,0.560236,0,0.6635099,0,0.0541689,0.5937571,0.6551515,0.0022479,0.5107928,0,0.6161791,0.5627381,0.2838201,0.6270192,0.7003789,0.6411957,0.5133627,0,0,0.4421457,0,0.0395848,0.2991141,0,0.0342442,0.5784176,0.5437075,0.647404,0.0012345,0,0.1023641,0,0.6178387,0.6608277,0.1001872,0.5751444,0.2671246,0.3621762,0.2029277,0.006686,0,0.0417781,0.4206085,0.2464109,0,0.6654327,0,0.6768137,0.2600093,0,0.0301621,0.5953388,0.6418009,0.0328137,0,0.3763527,0,0.5314222,0,0.0220901,0.2490243
"542",0,0,0,0,0.4148982,0.2525888,0.6127203,0,0.7403941,0.4659802,0.0004106,0.5595341,0.5618315,0,0.7239349,0.0583935,0,0.0591761,0.6921542,0.4819174,0.6708641,0.0530408,0,0.4538328,0.0225529,0.5892607,0,0.0243547,0.4734377,0,0,0.0571698,0.1105065,0.2271007,0.1731366,0.663868,0.0166474,0.4969483,0.5737023,0,0,0.6858607,0,0.1357986,0,0.6730229,0.0208565,0.5163404,0.5106658,0,0,0.3650056,0.671629,0,0.596084,0.4324392,0.516114,0,0.4193443,0,0,0.3129505,0.4238121,0,0.5929147,0.5279013,0,0,0,0,0,0.62186,0.6517921,0,0,0.2032868,0.3840819,0.2344238,0.0024998,0,0,0,0,0.5511802,0,0.3087243,0,0.3277236,0.0671399,0,0,0.6533278,0.0224475,0.2597744,0.3620282,0,0.5908264,0.5419609,0,0
"1891",0.1308426,0.6555064,0,0.0825578,0.2683791,0.0963361,0.5017401,0.6620827,0.6328345,0,0,0.4965679,0,0.5712182,0,0.0548929,0,0,0,0,0.6508084,0.0103084,0.0502708,0,0,0.6861791,0.5748319,0,0.4585202,0.5671437,0,0.0218712,0.3137689,0.3015348,0.1554288,0,0.0268618,0.4830665,0.4958552,0.5958144,0.0584311,0.7298054,0.6552458,0,0.5496807,0.5734346,0.0114352,0.5755537,0.5116818,0.6312143,0,0.435183,0.5406594,0.68759,0,0,0.6711964,0.1031191,0.3932626,0,0,0.2340038,0.431908,0.0335414,0.6161805,0,0,0.0002449,0.5933087,0.0994632,0.0039023,0,0.6931831,0,0.8434878,0.2426517,0.4746895,0,0,0,0,0.1189206,0.7242316,0,0,0.3134301,0.6672446,0,0,0,0,0.4295069,0,0.3449005,0.3762657,0,0.4916938,0.7191177,0.0336815,0
"1895",0.0384259,0.1095526,0.5929773,0.1529101,0.2666008,0.0356151,0.3604063,0.699545,0,0,0.0126673,0.5245112,0.6030208,0,0,0,0.6560877,0.0026342,0,0.4476808,0,0.0271033,0.0485092,0.5487904,0.0534113,0.6282822,0.6093181,0.0373768,0.4545549,0.6297125,0.5842109,0.0006847,0.2632924,0.3499351,0,0.6615653,0,0.5280412,0,0.5813449,0.4335178,0.6075929,0.7350577,0.2461289,0.636734,0,0.0140248,0,0.499676,0.6085682,0.5165733,0.394391,0.7906148,0.2268878,0.3276365,0,0,0.1381675,0.4628472,0.4937947,0.0112848,0.5364545,0,0.0361257,0.5561362,0,0.6202907,0,0.7138004,0.0039313,0,0.5920371,0,0.0599273,0,0,0.1603727,0,0.0101155,0.4785376,0,0,0.6570671,0,0,0,0.6071857,0.139843,0.0002124,0,0.638418,0.523365,0,0.3147742,0.3747945,0,0.7681645,0,0,0
"1899",0.0705214,0,0,0.0942655,0.2764015,0,0.2823874,0.6596789,0,0.3466216,0,0.4323046,0.5815163,0.6933254,0.7114909,0.0672339,0,4.81e-05,0,0,0.5195667,0,0.0528001,0.5105045,0.0402606,0.582185,0,0,0,0.5221241,0,0,0.2657426,0.3169716,0,0.66939,0.0074084,0.3831816,0,0.677244,0.4692423,0.5292461,0.5443666,0.2198854,0.5912894,0,0,0,0,0,0,0.3812455,0,0,0.2350251,0.4986697,0,0,0,0.464492,0.0236913,0.4897602,0,0.0347671,0,0,0.6924508,0.00284,0.590157,0,0.0032398,0.6247781,0.737837,0,0,0.3090478,0,0,0.0006291,0.4507549,0.0115751,0,0.8309495,0.494242,0,0,0.5262034,0.1294276,0,0.0060482,0.6552196,0.5887798,0.000146,0.2655729,0,0.5220908,0.6683804,0,0,0
"1903",0.0075744,0.6893636,0,0,0,0,0,0.4560885,0,0.3302602,0,0,0.6548032,0,0,0,0.685938,0.0208804,0.6560839,0.5207785,0,0.0430418,0.0266746,0,0.0458367,0.6850492,0.5127196,0,0.4289468,0,0.6037776,0.0239722,0,0.3328046,0.1335928,0.6425879,0,0,0.603011,0.5951557,0.3130558,0.6632927,0,0.1381866,0.5844723,0,0.0059701,0,0,0,0.5937869,0.3560786,0.7022682,0.6433557,0,0,0.4556109,0,0.4195394,0,0,0,0.4084979,0,0.5470368,0.5607656,0.5922454,5.84e-05,0.7130861,0,0,0.5924806,0.5953351,0,0,0.3031175,0.2663611,0.2888812,0.0055617,0.2340329,0.044399,0.2805556,0.6351513,0,0.6689049,0.2901151,0,0.1910533,0.0208075,0.0061001,0.6006842,0,0,0.287363,0,0.6170509,0,0.6352493,0.0204169,0.2106152
"1907",0,0,0.6204745,0,0.2584468,0.1904346,0.5252864,0.5936732,0.7082041,0.4901381,0,0.507083,0.6125755,0,0.6552099,0.0428118,0.5245517,0.0664122,0.5271882,0.4769242,0.6163246,0.018584,0,0,0.0513327,0.5727711,0.5303608,0,0,0.6998876,0,0.0334619,0.1910577,0,0.3148455,0.6301335,0,0,0.6234975,0.6988017,0,0.5812952,0.7310139,0.1270255,0.5711843,0.6930582,0,0.6563276,0,0,0.5446577,0,0.6757119,0,0.6101479,0.4597983,0.6250386,0,0,0.5830604,0,0,0,0,0,0,0,0.0002158,0.6709594,0.0725116,0,0.6621453,0.6308201,0.0494106,0.5930111,0.2632814,0,0.3712289,0.0057276,0,0.0166042,0.1899439,0.5792512,0,0.6217929,0,0.6754601,0,0,0.0013417,0.6515956,0.5797159,0.0315823,0.291209,0.4052775,0.5764172,0.6050164,0,0,0
