"G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50"
"3046",0.6653774,0.6646101,0.6673493,0,0.6306002,0.6284529,0.55057,0.6733333,0.6264437,0.6532832,0.7008702,0.0870691,0.0935881,0.6964451,0.4924181,0.0018374,0.6687049,0.8419848,0.6936064,0.0005511,0.5773135,0.042059,0.6530535,0.6436827,0.1011306,0.0406706,0.5418101,0.7219685,0.4460931,0.5967352,0.5784796,0.5223487,0.5336381,0.2576792,0,0.021161,0.3754589,0.1847558,0.2765604,0.2988764,0.2360969,0.4305925,0.2984357,0.6232164,0.5754124,0.0011878,0.5716467,0.6369419,0.6516901,0.8121137
"3048",0.7071999,0.5905477,0.6600075,0,0,0.6432255,0.6971009,0.6411809,0.6014184,0.5192889,0.5920233,0.0714692,0.1075509,0.6007175,0,0.0053502,0.6927592,0,0,0.0006171,0.5569129,0.2169391,0,0.6760061,0.001611,0.0446227,0,0.3969638,0,0.7450721,0.6387297,0.689523,0.1819576,0.0626888,0.4571396,0.0312992,0.3829445,0.1126508,0.3011128,0.4312255,0.2706617,0.3415057,0.3637126,0.5894103,0,0.0046344,0.5968937,0,0.6986429,0.7225938
"3050",0.7173014,0.5756365,0.552385,0,0.6165728,0,0.5801297,0.591081,0,0,0,0.0798275,0.1079909,0.6276211,0,0.00313,0.6600025,0.6358098,0.6281921,0.0004229,0,0.1735254,0,0,0.0027471,0.1758168,0,0,0,0.6436401,0.6390307,0.6349127,0,0.0093243,0.5864107,0.2619906,0.3602979,0.1262476,0.3388741,0.4288492,0.3101412,0.3727477,0.2312534,0,0,0.0043572,0.5778756,0,0.7023901,0.6491176
"3052",0.5952031,0.5930271,0.5781584,0.4044714,0.7616994,0.4909833,0.6386957,0.6209738,0.6616581,0,0,0.0757887,0.0800239,0.5895525,0.4978024,0.0007128,0.7000292,0.6374365,0,0.0064925,0.2406011,0.2001984,0.1281436,0.5631199,0.0002277,0.277227,0,0.4917319,0.2324986,0.6727375,0.6429825,0.5777252,0,0,0.5472066,0.1942202,0.2731313,0.1283748,0.3538359,0.4678379,0.3234985,0.4274508,0.2165838,0.5058693,0.4314547,0.007611,0.5776668,0.5412542,0.6526878,0.6764353
"3054",0.5920096,0.5694461,0.5957547,0,0.7293895,0.4538439,0.7453307,0.5100639,0.5899782,0.4382246,0,0.0661867,0.1456867,0.7029636,0.4164318,0,0,0.6771722,0.5404799,0,0,0.3548382,0,0.7067134,0.0004861,0.3082398,0,0,0,0,0.5947075,0.5961782,0.0986978,0,0.5670845,0.2732419,0.3654004,0.1476087,0.3237511,0.4263136,0.3225275,0.3430921,0.3427585,0.6623097,0,0.0066572,0.6011797,0.6528039,0.6536877,0.5951097
"3056",0.634203,0.6547766,0.7627379,0,0.5499656,0.4877903,0.6008375,0.6353205,0.6310328,0,0.4604173,0.0840074,0.1129927,0.6294217,0.4804095,0.0009285,0.6411196,0,0.5887806,0.0007229,0,0.2681624,0.1128315,0.5863693,0,0.3875673,0.0379962,0.4308825,0.3578022,0.5651694,0.675384,0.6739059,0.0903653,0,0.4956353,0.1442586,0.3477883,0.1043751,0.4822834,0.3732006,0.3965147,0.4404044,0.2946671,0,0.4412138,0,0.5755641,0.6057031,0.5480971,0.6595379
"3058",0,0.6430921,0,0.6367011,0.6291388,0.5813892,0.5521832,0.6225082,0,0.5406933,0.6022149,0.0407853,0,0.5915804,0,0.0004111,0.656053,0.6214582,0.8268797,0.0013738,0.596834,0.0492341,0.7611471,0.7111094,0.0563533,0.0940488,0.40349,0.6934509,0.5802279,0.57965,0.6584826,0.5921754,0.2329862,0,0.5239727,0.0265596,0.364922,0.1498634,0.3038716,0.3373402,0.2990065,0.4571252,0.3084044,0.7440317,0.697447,0.0008466,0.6500082,0.6318041,0.5199592,0.7583115
"3060",0.6517859,0.5870056,0.6499831,0.6832045,0.6127001,0.6361515,0.6488783,0.5580502,0.5909669,0.6849409,0.6090317,0.0745695,0.1287479,0.581862,0.5597805,0,0.6909196,0.5981126,0.6327857,0.0002552,0.6284823,0.0283198,0.6296441,0,0.1033984,0.0328483,0.5009001,0.6769259,0.4898835,0.6816943,0.6250632,0.6315704,0.3871309,0.0438425,0.2004715,0.0302327,0.3981687,0.1493051,0.3998323,0.4129101,0.3350721,0.4757937,0.1702327,0.6888322,0.7343427,0.002995,0.595437,0.5967855,0,0.6926167
"3062",0.7297035,0.6206206,0.7283355,0.7535424,0.6833461,0.6666728,0.5337455,0.6613784,0.5504848,0.5857346,0.6378025,0.0716301,0.1383442,0.5784093,0.5106008,0,0.5965504,0.6134343,0.6293238,0.0003077,0.7687564,0.0309883,0.7419781,0.6363643,0.138064,0.0397849,0.6813864,0.6639277,0.4875153,0.6546982,0.6117421,0.6319798,0.5558312,0.3038018,0,0.0542637,0.3222307,0.2254523,0.2664922,0.2843863,0.3922034,0.3620774,0.3077868,0.5056673,0.7037618,0.0062711,0.5888225,0.555993,0.5831075,0.6411334
"3064",0.7850025,0.6364477,0.6341507,0.5938568,0.6622215,0.6754113,0.5442471,0.6372603,0.6104366,0.6161575,0.619097,0.1250766,0.1158244,0,0.630922,0.0007807,0.7152044,0.6943139,0.5845587,6e-07,0.7063765,0.0290184,0.6508506,0.6321236,0.0844392,0.0449514,0.5149269,0.6138385,0.4271863,0,0.6888854,0.4869208,0.5861034,0.315343,0.0497053,0.0121559,0.4646961,0.1854307,0.2087228,0.2989849,0.2326634,0.3406602,0.3881575,0.6943182,0,0.0229073,0.6155402,0.5934289,0.5909202,0.5655919
"4537",0.7432015,0.6501001,0.6223677,0.7005919,0.6074924,0.5963793,0,0.6524208,0.6028895,0.511363,0.6850661,0.0690076,0.0673861,0.6422356,0.5756882,0.0029133,0.6831086,0.6941955,0.6091337,0.0013593,0.6019468,0,0.677748,0.6169109,0.0937929,0.0500291,0.5801496,0.7620545,0.5693336,0,0.5885481,0.616054,0.6057587,0.2123343,0.0691695,0.0343215,0.424304,0.1936708,0.2729247,0.3637837,0.2551407,0.3717623,0.312829,0.7089679,0.7077901,0.0063797,0.6499238,0.5003271,0.5376536,0.7248373
"4539",0,0.6709454,0.7000391,0,0.6299253,0.6601855,0.6233304,0,0.6077592,0,0.6945763,0.0637895,0.0955462,0.7005311,0.4805829,0.0013051,0.5301002,0.6400913,0.3337838,0.0005304,0.456957,0.1053089,0,0.6718213,0.0693996,0.1477212,0.3850393,0.7373937,0.6307464,0.5549296,0.6006676,0.5952645,0.4946465,0.0493733,0.4310834,0.0345443,0.5280102,0.1188706,0.3332336,0.3572782,0.2794741,0,0.3288518,0.6335413,0.7584021,0.0066705,0.5996356,0.6125137,0.663025,0.6875424
"4541",0,0.619296,0.6145498,0.5714733,0.6035142,0,0.5949304,0.5523349,0.6615133,0.4732655,0.4953198,0.0443731,0.1081827,0.5309474,0.5210474,0.0003861,0.5992435,0.6916156,0.4596032,0.0001468,0,0.2784611,0,0.6683267,0.0531261,0.4740429,0.1710023,0.611743,0.6445748,0,0.7595524,0.7154699,0.3059985,0,0.5244127,0.2360378,0.5683318,0.1006068,0.2898359,0.3432933,0.3251139,0.1047212,0.3240392,0.5516372,0.6457277,0.0015589,0.6951765,0.3118884,0.6734362,0.6704277
