"G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50"
"3214",0.0170082,0.6429191,0,0.5355098,0.0195074,0.1388124,0.0301028,0,0.0533609,0,0,0.3448806,0,0.0235495,0,0,0.6298161,0,0,0,0.0380444,0.6715615,0.60813,0.615608,0.1875245,0,0.4360559,0,0,0.017769,0.4493994,0.2126353,0,0,0.1747547,0,0.0151922,0.7052693,0.7242144,0,0.0345076,0.6669539,0.1409655,0.1667279,0.5385061,0.5660994,0.091164,0,0.0334847,0.1656356
"3216",0.0268456,0,0.563454,0,0.0005159,0.2469385,0.0056985,0.0213233,0.0133478,0.4999661,0,0,0,0.028916,0,0.7141665,0.6630202,0,0.0069863,0.5280672,0,0.6747378,0,0.5365064,0,0.6453622,0,0.3357086,0,0.0065838,0.4833093,0,0,0,0.319992,0.0402266,0,0.4467433,0,0,0,0.6286585,0.0764755,0,0.5588568,0.6726454,0.066496,0.7128136,0,0.1459326
"3218",0.0344987,0,0.6242648,0,0,0.269327,0.0188484,0.0005144,0,0.5184644,0,0.4038548,0.6854568,0.0192074,0,0.7112962,0.7256572,0,0,0.477718,0,0.7507907,0.6006034,0.4992995,0,0,0,0,0.5798551,0.0032677,0.4123976,0.2217816,0.6870442,0,0.4231491,0.0279333,0.0023498,0.4569969,0,0.0268691,0.0001946,0.668183,0.0947599,0.0007221,0,0.7388287,0,0,0.03937,0
"3220",0.0178454,0.6487415,0.7697697,0.4326679,0,0.2426617,0.0410856,0,0,0.5287813,0,0,0.6648067,0.0233377,0,0.6325828,0.582474,0.4960517,0.0049053,0,0.000339,0.5754494,0.6511164,0.5593916,0,0.5754927,0.3730244,0,0,0.0174839,0.589479,0.1901772,0,0.1809285,0.5014339,0.0465793,0.0047286,0,0.7057954,0.0069209,0.0010736,0,0.1013104,0,0,0.6126174,0,0,0,0
"3222",0.0338598,0,0.6850613,0.5959952,0,0.1626573,0.0245394,0,0.0086134,0.4675254,0.488584,0.4731705,0.7128232,0.0156563,0.0019362,0.6428115,0.6931469,0.602963,0.0027591,0.5228834,0.0007361,0.6159476,0,0.6120142,0.2588565,0,0,0.3953326,0.6523987,0.0169688,0.5198465,0.1750719,0,0.1772721,0.442928,0.033065,0.0051103,0.5198849,0.552194,0.0195951,0,0.6812228,0,0.0024384,0.5458215,0.6902879,0.0895904,0.6921065,0.0523949,0
"3224",0.026294,0.6327499,0.7937022,0,0,0.2475135,0,0,0,0.5729839,0,0.4073664,0.6493251,0.0238767,0,0.6292358,0,0,0,0.6313044,0.0027986,0.6194938,0.5473334,0.5833936,0.162161,0.6506617,0.314455,0.121632,0.6530969,0.0035042,0.4840569,0.159875,0.7123571,0.1817813,0.5404313,0.0282489,0,0.509927,0.676284,0.0281538,0,0.5350691,0,0.0039651,0.5449742,0,0,0.6109015,0.045455,0.1793432
"3226",0.0387022,0,0.6949264,0,0,0.1762147,0,0.158333,0.0411835,0,0.6054566,0.3909458,0,0.0383021,0.0191086,0.6625613,0.6855246,0.6062496,0.0051551,0,0.0299976,0.7259449,0,0,0.2889831,0.6596038,0.4448263,0,0,0,0.478596,0.2124927,0.6493489,0.1215825,0.281111,0.043113,0,0,0,0,0.0069618,0.6652609,0.0628371,0.1134538,0.5472342,0.6303964,0,0.6311862,0.0415667,0.2178163
"3228",0.0354066,0.6211032,0,0.4762928,0,0.1630913,0.0388371,0.1172422,0.025316,0,0.6278055,0.5038825,0,0,0.0427147,0.5935291,0.6648618,0.6508556,0,0,0.0489126,0.6997606,0,0,0,0.6757955,0.5518107,0.4852609,0.6684299,0.0063038,0.4517628,0.2547382,0.5341496,0,0.1652214,0.0092111,0.0026275,0.6771474,0,0.0475516,0.0168973,0.6607156,0,0,0.5489518,0,0,0.6214824,0,0.1431049
"3230",0.0244821,0,0.5289384,0.469728,0,0,0.0175804,0.1515817,0.0479796,0.4485371,0.5154998,0.5595481,0.6660784,0.01507,0.0559408,0.672382,0.6839258,0,0,0.7040098,0,0.6417062,0.5313015,0,0,0.6522068,0,0.46021,0.7020236,0.0197723,0.4701288,0,0.5972169,0.184573,0.2620807,0,0.0055981,0.7299654,0.5587668,0.0221319,0.0164452,0.7094544,0.1141702,0.0899957,0,0,0.0823544,0.8135882,0.0239192,0.1881902
"3232",0.0326211,0.6647686,0.5465677,0.5059868,0.01502,0.1223141,0.0319279,0.1688313,0.0276836,0,0.6666696,0.3436742,0.6133434,0.0217286,0.0223137,0,0,0.4660896,0,0,0.0230408,0.6696432,0.6180917,0.6422623,0,0.6962842,0.4557955,0,0.6629453,0,0,0.2524557,0.6449312,0.1864285,0.1955852,0.0114259,0,0,0.6433181,0,0.0066388,0.6306529,0.087893,0.097398,0.5699842,0.7284239,0,0.725586,0.0394357,0.0949552
"3739",0.0112744,0.6294825,0.4788735,0.4800626,0,0.2096541,0.027795,0.2240366,0,0,0.6558428,0,0.7258106,0.0328523,0.020362,0.5129642,0,0.5836265,0,0,0.034296,0.6000563,0,0.6244691,0.2176078,0.7316222,0,0.3120012,0.6603876,0.0136309,0,0.1654167,0.6995407,0,0,0.0196588,0.0097197,0.5734472,0.7321967,0.0479917,0,0.5433535,0,0.1741448,0.5359158,0,0.0649937,0,0,0.1865937
