"G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50"
"3046",0.6653774,0.6646101,0.6673493,0.5482777,0.6306002,0.6284529,0.55057,0.6733333,0.6264437,0.6532832,0.7008702,0.0870691,0.0935881,0.6964451,0.4924181,0,0.6687049,0.8419848,0.6936064,0.0005511,0,0,0.6530535,0.6436827,0.1011306,0,0.5418101,0.7219685,0,0.5967352,0,0.5223487,0.5336381,0.2576792,0,0.021161,0.3754589,0.1847558,0.2765604,0.2988764,0.2360969,0.4305925,0.2984357,0.6232164,0,0.0011878,0.5716467,0.6369419,0.6516901,0.8121137
"3048",0.7071999,0,0.6600075,0.4140279,0.5519597,0.6432255,0.6971009,0.6411809,0,0.5192889,0.5920233,0.0714692,0.1075509,0,0,0.0053502,0.6927592,0.6019384,0,0.0006171,0.5569129,0.2169391,0,0.6760061,0.001611,0.0446227,0,0.3969638,0,0.7450721,0.6387297,0.689523,0,0,0.4571396,0,0.3829445,0,0.3011128,0.4312255,0,0,0.3637126,0,0,0.0046344,0,0,0.6986429,0.7225938
"3050",0.7173014,0,0.552385,0,0.6165728,0.5168399,0.5801297,0,0,0.4773514,0,0.0798275,0.1079909,0.6276211,0,0.00313,0.6600025,0.6358098,0.6281921,0.0004229,0,0.1735254,0.1637285,0.5245761,0,0.1758168,0,0.5108912,0.3214096,0.6436401,0.6390307,0.6349127,0,0.0093243,0.5864107,0.2619906,0.3602979,0.1262476,0.3388741,0.4288492,0.3101412,0.3727477,0.2312534,0.5343501,0,0.0043572,0.5778756,0,0.7023901,0.6491176
"3052",0.5952031,0,0,0,0.7616994,0,0.6386957,0.6209738,0.6616581,0,0.5759904,0.0757887,0,0,0.4978024,0,0.7000292,0.6374365,0.5626951,0.0064925,0.2406011,0.2001984,0.1281436,0.5631199,0.0002277,0.277227,0.0278673,0.4917319,0,0.6727375,0.6429825,0.5777252,0,0.0062503,0.5472066,0.1942202,0.2731313,0,0.3538359,0.4678379,0.3234985,0.4274508,0,0.5058693,0,0.007611,0.5776668,0.5412542,0.6526878,0.6764353
"3054",0,0.5694461,0.5957547,0,0.7293895,0.4538439,0.7453307,0,0,0.4382246,0,0.0661867,0.1456867,0.7029636,0.4164318,0.000255,0,0.6771722,0.5404799,0,0.2784199,0.3548382,0,0.7067134,0.0004861,0.3082398,0.0307564,0.3518257,0,0,0.5947075,0.5961782,0.0986978,0.0012184,0.5670845,0.2732419,0.3654004,0,0.3237511,0.4263136,0.3225275,0.3430921,0.3427585,0.6623097,0,0.0066572,0,0.6528039,0.6536877,0
"3056",0.634203,0.6547766,0.7627379,0,0.5499656,0,0.6008375,0.6353205,0.6310328,0,0,0.0840074,0.1129927,0.6294217,0,0,0,0,0.5887806,0.0007229,0,0.2681624,0,0,0,0.3875673,0,0,0.3578022,0,0.675384,0.6739059,0.0903653,0,0.4956353,0.1442586,0.3477883,0,0.4822834,0.3732006,0.3965147,0.4404044,0.2946671,0.5272357,0.4412138,0.0010486,0,0,0,0.6595379
"3058",0.5246645,0.6430921,0.4723454,0.6367011,0.6291388,0,0.5521832,0,0,0,0.6022149,0.0407853,0,0.5915804,0,0,0.656053,0.6214582,0.8268797,0.0013738,0,0.0492341,0.7611471,0.7111094,0.0563533,0.0940488,0.40349,0.6934509,0.5802279,0,0.6584826,0.5921754,0.2329862,0.0060234,0.5239727,0.0265596,0.364922,0.1498634,0.3038716,0,0.2990065,0.4571252,0,0.7440317,0.697447,0.0008466,0.6500082,0.6318041,0,0.7583115
"3060",0.6517859,0.5870056,0.6499831,0.6832045,0.6127001,0.6361515,0.6488783,0.5580502,0,0.6849409,0,0.0745695,0.1287479,0.581862,0.5597805,0,0.6909196,0.5981126,0.6327857,0.0002552,0.6284823,0.0283198,0.6296441,0,0.1033984,0,0,0.6769259,0,0.6816943,0.6250632,0.6315704,0,0,0.2004715,0.0302327,0.3981687,0.1493051,0.3998323,0.4129101,0.3350721,0.4757937,0,0.6888322,0.7343427,0.002995,0.595437,0,0,0.6926167
"3062",0.7297035,0.6206206,0.7283355,0.7535424,0.6833461,0.6666728,0.5337455,0.6613784,0.5504848,0.5857346,0.6378025,0.0716301,0.1383442,0,0.5106008,0,0.5965504,0,0.6293238,0.0003077,0.7687564,0,0.7419781,0.6363643,0.138064,0.0397849,0.6813864,0.6639277,0.4875153,0.6546982,0.6117421,0.6319798,0.5558312,0.3038018,0.0399289,0.0542637,0,0.2254523,0,0.2843863,0.3922034,0,0.3077868,0.5056673,0.7037618,0.0062711,0.5888225,0.555993,0.5831075,0
"3064",0.7850025,0.6364477,0.6341507,0.5938568,0.6622215,0.6754113,0.5442471,0.6372603,0.6104366,0.6161575,0,0.1250766,0.1158244,0,0.630922,0.0007807,0.7152044,0.6943139,0.5845587,6e-07,0.7063765,0,0.6508506,0.6321236,0.0844392,0.0449514,0.5149269,0,0,0,0.6888854,0.4869208,0.5861034,0.315343,0.0497053,0,0.4646961,0.1854307,0.2087228,0.2989849,0.2326634,0.3406602,0.3881575,0.6943182,0,0.0229073,0.6155402,0,0.5909202,0
