"","x"
"1",0
"2",100
"3",200
"4",300
"5",400
"6",500
"7",600
"8",700
"9",800
"10",900
"11",0
"12",100
"13",200
"14",300
"15",400
"16",500
"17",600
"18",700
"19",800
"20",900
"21",0
"22",100
"23",200
"24",300
"25",400
"26",500
"27",600
"28",700
"29",800
"30",900
"31",0
"32",100
"33",200
"34",300
"35",400
"36",500
"37",600
"38",700
"39",800
"40",900
"41",0
"42",100
"43",200
"44",300
"45",400
"46",500
"47",600
"48",700
"49",800
"50",900
"51",0
"52",100
"53",200
"54",300
"55",400
"56",500
"57",600
"58",700
"59",800
"60",900
"61",0
"62",100
"63",200
"64",300
"65",400
"66",500
"67",600
"68",700
"69",800
"70",900
"71",0
"72",100
"73",200
"74",300
"75",400
"76",500
"77",600
"78",700
"79",800
"80",900
"81",0
"82",100
"83",200
"84",300
"85",400
"86",500
"87",600
"88",700
"89",800
"90",900
"91",0
"92",100
"93",200
"94",300
"95",400
"96",500
"97",600
"98",700
"99",800
"100",900
