"G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50"
"4096",0.6278733,0.5047463,0.033288,0.4431048,0.0308927,0.5143243,0.3617589,0.009496,0.0211875,0,0.4808811,0.2272781,0.5614646,0.243079,0.077876,0.6474987,0.3777083,0.0118834,0.4994693,0.5782376,0.0005844,0.008436,0.0634962,0,0.6803021,0.6152975,0.0599093,0.5539137,0.0171198,0.2389533,0.6636282,0.6441541,0.626244,0.1013523,0.6278599,0.682508,0.7252311,0.6183228,0.1981091,0.4885058,0.6519024,0.6215018,0.0594767,0.6306349,0.7347344,0.6559705,0.2179861,0.566773,0.5928603,0.7057704
"4100",0.7164757,0.5192756,0,0.4095207,0.0299405,0.6421402,0.0100462,0.0132481,0.0007901,0.0715449,0.4663569,0.1907792,0.5492116,0.5715055,0.0741074,0.5086905,0.428642,0.0215649,0,0.5427429,0.0006484,0.0086049,0.0750066,0.0112769,0.5595367,0.607693,0.0377044,0.7279072,0.0308591,0.2368289,0.6856717,0.7372229,0.744684,1.44e-05,0.5298339,0.630027,0.5745754,0.6166434,0.2371625,0.3654603,0.6450393,0,0.0827759,0,0.6384231,0.6487677,0,0.3492019,0.7350549,0.4534242
"4104",0.6242433,0.5150627,0.007258,0.4058784,0.0422689,0.5076174,0,0.0606602,0.0299001,0.0851255,0.4088465,0.163589,0.5535246,0.7122047,0.0595306,0,0,0.1078554,0,0,0.001926,0.0121818,0.1093238,0.0356821,0.8835952,0.5940624,0.0290968,0.5641492,0.1100931,0.2368471,0,0.6955573,0.6737152,0,0.5949419,0.6505548,0.6558405,0.6363553,0.2202615,0,0.5633477,0.6921934,0.0654657,0,0.6608308,0.6485243,0.1135472,0.1889588,0.6112633,0.6669252
"4108",0.6737638,0.6466138,0.02531,0.4109931,0.034582,0.5435747,0,0.0417363,0.1259338,0.075973,0.5122832,0.0469467,0.6608794,0.3709881,0,0,0.4287261,0.1162509,0.465117,0.5406752,0.0003204,0,0.1593013,0.0185357,0.6067122,0.6392101,0.0407864,0.5220656,0.0508777,0.19958,0.7400014,0,0.6666622,0.0896072,0.7126404,0.6790425,0.5788846,0.6115341,0.1594058,0,0.5956036,0.6228768,0.0525329,0.6155777,0.7380889,0.5995228,0.2290978,0.2640404,0.5969408,0.4762552
"4112",0.6697561,0.5880776,0.0746275,0.3913793,0.0074373,0.5238147,0.2679356,0.0087347,0.026609,0.0334501,0,0.2521829,0.5556404,0.3752554,0.0210698,0,0.3583895,0.0330401,0.4398934,0.5693488,0.0074203,0.0122592,0.1138107,0.0225831,0.5421916,0.5706554,0.1520067,0.4834454,0.0130728,0,0.6892063,0.5931253,0.6695942,0.0504094,0.7221993,0.6183963,0.5081386,0.5797544,0.1497443,0.4364803,0.6276632,0,0.0652276,0.676555,0,0.6978365,0.470756,0.5616919,0.6053499,0.5291711
"6049",0.5630516,0.5492084,0.0209997,0.5173885,0.0286802,0.5328931,0.2527918,0.0235526,0.0047575,0.0181,0.3523262,0.2537381,0.5124345,0.2663894,0.029435,0.5612752,0.3574058,0,0.540693,0.628492,0.000255,0.0175683,0.100411,0.0313302,0.6761191,0.5683173,0.0286061,0.5329667,0.0012946,0.2710661,0.5532246,0.6121459,0.5948869,0.1394997,0.6510608,0.6360355,0.5629197,0.6095694,0.2180732,0.4840765,0.6532342,0.6570752,0.0889462,0.6637515,0.5883906,0.5293106,0.1521033,0.5088174,0.5449965,0.6374145
"6053",0.6130212,0.4575355,0.0301172,0.3425013,0.0223774,0.5111397,0.3112951,0.0149268,0.0089743,0.0268548,0.4084955,0.3162873,0.5664555,0.2449972,0.0187075,0.5420032,0.3466486,0.0070899,0,0.6165326,0.0004604,0.6226868,0,0.0172381,0.5889236,0.6358037,0.1491033,0.4352377,0.0094503,0.2677373,0.6542067,0.6299848,0.6993938,0.0560852,0.5574758,0,0.6223451,0.6956961,0.2583756,0.3291547,0.5733078,0.7019733,0.0416639,0.659391,0.6034682,0.5831651,0.1936919,0,0.2418138,0.5359742
"6057",0.6484067,0.564495,0.0437529,0.4787882,0.0173061,0.5974914,0.2326677,0.0237414,0.0149216,0.0352134,0.3977813,0.2462508,0.5781946,0.2890636,0.0365529,0.4741517,0.3348674,0.0393475,0,0.6099243,0.0043058,0.7050867,0,0.0167753,0.6480468,0.5742949,0.0711878,0.5153254,0.024484,0.2484292,0.556996,0.608927,0.5801351,0.0904862,0,0.6431798,0.6768934,0.7104936,0.2096691,0.4039526,0.6519168,0.7633387,0.0918306,0.7860701,0.6726354,0.7132549,0.1789444,0.4509698,0,0.4333133
"6061",0.6820646,0.5502695,0.022495,0.4141244,0.0131193,0.4687681,0.2821509,0.0228857,0.0107277,0.0347638,0.5122734,0,0.6965111,0.3461048,0.0304746,0.4620203,0.3435871,0.0253557,0.400827,0.5567815,4.48e-05,0.0695169,0.1220305,0,0.6623017,0,0.0484167,0.5435129,0.022289,0.2058808,0.6306891,0.6030521,0.5749873,0.0744007,0.5886681,0,0.7101437,0.5993663,0.2147879,0.2826243,0.6823141,0.6447906,0.1222352,0.7300806,0.4910729,0.7292848,0.1744347,0.3483819,0.5992534,0.5654227
"6065",0.6843507,0.5212107,0.0198768,0.4012212,0.0411943,0.5148297,0.2630853,0.0103047,0.0276551,0.0205773,0.4832083,0.3094439,0.6476739,0.3085856,0.0632933,0.3103806,0.3900868,0.0213764,0.4925271,0.593123,0,0.0074397,0.0840006,0.0280592,0.6615236,0.6971272,0.0654301,0.3351904,0.010802,0.2174026,0.605229,0.6554192,0.7420429,0.0897925,0.650809,0.5745189,0.6348008,0.6485655,0.1158968,0.3265609,0.6849659,0.6510271,0.0705208,0.6046276,0,0.6325189,0.1217399,0.4919311,0.5874925,0.5779495
