"G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100"
"5818",0.037131,0.5382026,0.7851102,0.7153238,0.0113218,0.7265626,0.6041559,0.5674979,0.2467382,0.3700458,0.0488827,0.0511061,0.6306591,0.6302729,0.1016424,0.0555813,0.6549479,0.0958291,0.5851561,0.0074765,0.6219017,0.0942193,0.0254136,0.7152543,0.7000727,0.7485844,0.0528663,0.6535065,0.5024568,0.1817521,0.6374611,0.0591846,0.6444868,0.6659042,0.037163,0.6039585,0.6419695,0.4903557,0.4926162,0.5716779,0.0542835,0.0020559,0.097433,0.5165398,0.6068214,0.5599862,0.6508982,0.6641989,0.6845697,0.808621,0.6157817,0.1158856,0.4926272,0.7577917,0.4023912,0.5858092,0.0123411,0.6623821,0.6585795,0.034903,0.685718,0.4550588,0.6273903,0.6793684,0.0240005,0.6844106,0.5669664,0.0091017,0.7171567,0.5894569,0.0428103,0.5808358,0.37085,0.722068,0.6174009,0.6982225,0.0607754,0.0609819,0.0105227,0.6678798,0.6622396,0.5968813,0.6110531,0.01213,0.1622717,0.7400836,0.6589506,0.1061376,0.7330788,0.0200011,0.0722317,0.724561,0.0203057,0.0741722,0.0214963,0.3718592,0.6916762,0.0164092,0.5880078,0.5946666
"5828",0.026058,0.4403994,0.6673704,0.6193565,0.0034275,0.6634668,0.6005615,0.5867602,0.4563818,0.290342,0,0.0336834,0.6686969,0.5009207,0.0118979,0.0651303,0.608829,0.0291979,0.6853084,0.0096346,0.5545219,0.0013222,0.0167434,0.6330896,0.6080413,0.5445715,0.0871862,0.6208405,0.5548588,0.0584767,0.710318,0.0622878,0.5937933,0.6294213,0.0494913,0.6372857,0.6543523,0.3723557,0.6798087,0.5837218,0.0579613,0.0008939,0.0590518,0.6912777,0.6194436,0.5109681,0.00124,0.3277996,0.6701689,0.6588643,0.4868045,0.0040242,0.5620219,0.5143918,0.1980526,0.5842502,0.0174477,0.166464,0.6002857,0.0303908,0.684838,0.4644555,0.5405269,0.4218186,0.030548,0.653262,0.5469065,0.0102396,0.5937546,0.5283482,0.0331807,0.6611634,0.284385,0.8005129,0.7551926,0.6522487,0.0189268,0.0103727,0.0141187,0.5504056,0.6008333,0.605879,0.41702,0.0201695,0.2364195,0.7366421,0.6926931,0.1045635,0.6454861,0.0190675,0.0945415,0.7051482,0.014043,0.0954059,0.0032915,0.2522117,0.7721333,0.0029225,0.5440997,0.6704309
"12286",0.0139314,0.6537654,0.6081937,0.5691765,0.0031925,0.5879882,0.6256475,0.5396992,0.2150837,0.3217416,0.0978554,0.0684092,0.6399526,0.7380951,0.0684052,0.0864647,0.6794974,0.0604604,0.6286182,0.0072208,0.611481,0.1041341,0.02254,0.5741279,0.6413011,0.7396754,0.0187426,0.7981606,0.6137957,0.127721,0.6787364,0.0794577,0.6227146,0.5648423,0.0555436,0.5671812,0.5892416,0.4307234,0.5494555,0.5063703,0.050576,0.0037049,0.130544,0.633665,0.6883772,0.5997291,0.6714647,0.5944171,0.6846022,0.737749,0.5973277,0.1066479,0.5604576,0.6622761,0.4378684,0.6670596,0.0171048,0.5742796,0.6884555,0.0236329,0.6954223,0.5496946,0.6259689,0.65154,0.0341907,0.622003,0.5580582,0.0059095,0.6441273,0.6672952,0.0449191,0.597905,0.3665112,0.7738499,0.6570852,0.7759326,0.0572988,0.0864209,0.0126616,0.6389857,0.5993288,0.540636,0.5906879,0.0206078,0.2130593,0.7349775,0.4732794,0.1244295,0.7245992,0.0355123,0.0572462,0.646515,0.0109507,0.1028374,0.0413452,0.3908603,0.6204078,0.0418404,0.7427082,0.6676276
"12296",0.0020701,0.4924046,0.2494084,0.604798,0.0004541,0.538046,0.5803691,0.6782298,0.5458152,0.241836,0.0659417,0.0009414,0.6653926,0.6326744,0.0691978,0.0363426,0.7081146,0.038506,0.6685401,0.0048627,0.5991729,0.0009183,3.25e-05,0.7085725,0.5759567,0.5854203,0.0250874,0.6732457,0.6662398,0.6323306,0.4946932,0.0543738,0.6219873,0.6940612,0.0562679,0.4680126,0.460491,0.0423253,0.0056864,0.4547701,0.5613132,0.3304796,0.6545796,0.6721498,0.7021132,0.6273001,0.6311116,0.2579298,0.5896611,0.6909875,0.629671,0.071609,0.5430018,0.6127109,0.2253122,0.6371988,0.0151338,0.5393822,0.681421,0.2992996,0.2946808,0.0219992,0.5817987,0.6076264,0.0119579,0.6130162,0.6156885,0.0028842,0.6834059,0.7374534,0.0082631,0.6377269,0.3396896,0.3959179,0.7003132,0.6580998,0.1258702,0.0430206,0.0177027,0.5516864,0.3088671,0.4796596,0.6909022,0.0172866,0.1908021,0.5281935,0.7034758,0.1033011,0.5461851,0.0502762,0.0779003,0.5198719,0.0597501,0.1262367,0.023473,0.0991838,0.7187335,0.0370476,0.682698,0.596536
"14743",0.02947,0.5204905,0.6362249,0.6576312,0.0061551,0.7055098,0.5666682,0.5935532,0.2051738,0.3039059,0.0806623,0.0396288,0.5693701,0.6457885,0.0651333,0.0472434,0.6639192,0.0625359,0.702705,0.0084251,0.556592,0.1143062,0.0352438,0.6363168,0.6943591,0.6432731,0.0388278,0.7171198,0.6485587,0.1655522,0.6270819,0.051654,0.6301949,0.5947234,0.0252003,0.5554045,0.7485928,0.3252924,0.5088114,0.5351937,0.049434,0.0026316,0.1008559,0.711257,0.7335727,0.5854588,0.6218795,0.6225001,0.7296085,0.7273117,0.564834,0.0774861,0.6557278,0.6678462,0.4164694,0.5397919,0.020185,0.6408364,0.6239339,0.0270881,0.6797612,0.4285456,0.5876698,0.5774178,0.0500741,0.7341772,0.5420828,0.0071601,0.7085116,0.6768976,0.0344496,0.6552998,0.3389624,0.7990912,0.7103059,0.8062461,0.0605946,0.052755,0.0201161,0.7898266,0.6110127,0.5981026,0.5206631,0.0185628,0.235504,0.5654725,0.5873385,0.1550906,0.6919239,0.0349689,0.0786902,0.6877864,0.0364341,0.0680059,0.0289143,0.375788,0.7119767,0.0276078,0.697005,0.6991086
"14753",0.5479349,0.1088115,0.1894846,0.1352142,0.5841813,0.5301507,0.6731002,0.621095,0.6250666,0.0280155,0.0599216,0.0213381,0.5872542,0.6456927,0.0088901,0.002653,0.5989286,0.0127508,0.6750782,0.0153132,0.6562992,0.0011179,0.0004481,0.604209,0.6145421,0.7053747,0.0123162,0.7201519,0.0356373,0.0001702,0.741271,0.0025556,0.6675247,0.6904639,0.0003207,0.5914604,0.7064087,0.3292607,0.6030466,0.5824361,0.3996965,0.0060486,0.0874327,0.5353435,0.7639806,0.5489701,0.1873047,0.6004505,0.6061929,0.6489027,0.0582497,0.0788453,0.1259671,0.4294592,0.5764265,0.4988801,0.1321361,0.7482221,0.676222,0.0490809,0.6709686,0.3703273,0.0934259,0.580646,0.0206263,0.6017906,0.5723829,0.0495616,0.3348365,0.401322,0.5226706,0.6373092,0.1606206,0.5731292,0.5988447,0.6630692,0.0243848,0.0195814,0.0174651,0.5897593,0.6941031,0.4857975,0.8026559,0.440191,0.2019017,0.617357,0.2417978,0.0139462,0.7220661,0.1433189,0.3103517,0.7360297,0.0146513,0.1023628,0.0028177,0.1207601,0.5505381,0.038195,0.4690862,0.6227778
"19615",0.0190022,0.6008964,0.6494265,0.7156132,0.0016151,0.6546163,0.7100578,0.5950754,0.1986604,0.3900836,0.0646882,0.0323642,0.6445029,0.6854388,0.0464566,0.0551111,0.6757375,0.0346409,0.6295671,0.0097303,0.5865316,0.1539377,0.0631282,0.6656224,0.699965,0.6353425,0.0231528,0.7420582,0.5683819,0.1365545,0.6356106,0.0404367,0.6468135,0.6875289,0.0396358,0.6303478,0.7043012,0.3971776,0.565632,0.6497607,0.0572038,0.002337,0.1112134,0.5583922,0.7173547,0.5449433,0.5829576,0.570288,0.6584866,0.693077,0.5898319,0.113435,0.5436606,0.6540632,0.3851666,0.6881425,0.0080167,0.6044008,0.6763652,0.0278289,0.6690696,0.4731753,0.6130321,0.6731219,0.0171779,0.587492,0.5560651,0.0029489,0.6557412,0.6708645,0.0589393,0.6890418,0.4150605,0.6852784,0.6478139,0.8683849,0.0353029,0.0611836,0.0057569,0.6061891,0.5733632,0.5928629,0.5147122,0.0153051,0.1701682,0.7458595,0.6232193,0.1031274,0.5991601,0.0384004,0.0843363,0.6540541,0.0208771,0.0929729,0.0254169,0.4112828,0.6786603,0.0276791,0.6793034,0.6271496
"19625",0.6299453,0.0921794,0.1856836,0.1559205,0.2243929,0.4238868,0.6315962,0.0211822,0.6144114,0.0004229,0.0799682,0.1143058,0.5446858,0.6265112,0.1166259,0.05666,0.6541336,0.0168838,0.8618443,0.0093559,0.6503767,0.1073253,0.0187816,0.6258237,0.6014212,0.6195146,0.1086159,0.6670459,0.458565,0.0030118,0.6826537,0.0561938,0.6673495,0.5864409,0.0010914,0.4996317,0.6275291,0.3656931,0.4924714,0.5433723,0.3604168,0.007261,0.1336248,0.5821932,0.550617,0.6853713,0.0369626,0.6635777,0.6291175,0.5145673,0.0069617,0.0929613,0.4409169,0.4343448,0.6367682,0.6853759,0.2968799,0.5609354,0.5776016,0.0043145,0.0699404,0.6095154,0.6465644,0.5238869,0.4891134,0.600338,0.5934577,0.4201328,0.0102906,0.6927488,0.6537038,0.5462546,0.3369502,0.6973041,0.5538228,0.7491899,0.0425372,0.0182058,0.008271,0.6944898,0.6933004,0.4292369,0.6802069,0.0047869,0.2846349,0.6372599,0.5422298,0.0245766,0.6153408,0.025954,0.0570134,0.7707792,8.7e-06,0.0492393,0.0582114,0.2728147,0.6878266,0.0329091,0.6795582,0.7246185
"20623",0.0093547,0.4578905,0.6610784,0.5865043,0.0031744,0.8492059,0.638595,0.6223028,0.2178774,0.3777759,0.0399948,0.0395447,0.6193428,0.7758902,0.0602035,0.0361442,0.6700903,0.0610674,0.618982,0.0050009,0.625094,0.1529016,0.0377069,0.6527665,0.7253779,0.7416323,0.0698588,0.7298674,0.5850331,0.140367,0.6114561,0.0514128,0.6050725,0.6298061,0.0328144,0.6191352,0.669858,0.2987945,0.5607431,0.6115599,0.0422432,0.0022064,0.1456666,0.5629688,0.649967,0.6537977,0.7204687,0.6692936,0.7382846,0.7176297,0.631217,0.0792062,0.5946247,0.7014341,0.4261279,0.626906,0.0316731,0.5922295,0.6399261,0.0227363,0.7354411,0.5153605,0.6905443,0.6842568,0.0484866,0.7096324,0.5302906,0.0016356,0.6223813,0.6063262,0.043247,0.6821825,0.3926442,0.6576661,0.6282207,0.7324625,0.0424109,0.0618839,0.0175297,0.6510834,0.6667812,0.5974474,0.5966973,0.0192573,0.2680398,0.6714227,0.6626228,0.1236303,0.6372582,0.0449758,0.0732516,0.7508543,0.0417395,0.1256587,0.0483363,0.3059729,0.5550778,0.0456995,0.6421109,0.6461597
"20633",0.0516043,0.3151076,0.6155551,0.7623188,0.0342652,0.5641266,0.7109649,0.6976077,0.5002854,0.2505904,0.0481606,0.041109,0.7104712,0.5874126,0.0338093,0.0499085,0.5832453,0.007916,0.5855911,0.0138216,0.6983325,0.123419,0.0110793,0.6016497,0.6712119,0.6011125,0.0349967,0.6150467,0.4201157,0.0235407,0.6118713,0.101044,0.733556,0.6011105,0.0141232,0.4996543,0.7139776,0.4204403,0.503309,0.6121969,0.0158017,0.0010854,0.0334103,0.5327953,0.5976937,0.7484902,0.4743915,0.2873577,0.665117,0.3394769,0.5123196,0.0869858,0.5982074,0.5753986,0.3279391,0.5769089,0.0145769,0.6460826,0.7785915,0.0143218,0.7228525,0.4856367,0.603302,0.5894666,0.0009232,0.6130506,0.6512446,0.0133833,0.6210885,0.672549,0.0524852,0.7092895,0.3401735,0.6702765,0.6735527,0.6203088,0.0792707,0.0866646,0.0227145,0.6511279,0.6298255,0.6530452,0.6119472,0.0343694,0.1696677,0.6281276,0.6668412,0.091438,0.6383524,0.060091,0.0709969,0.6587869,0.0133666,0.0612763,0.0649672,0.0772774,0.6348576,0,0.5080388,0.6819787
