"G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100"
"22",0.1632512,0.5845615,0.6229559,0.0702687,0.3003383,0.137439,0.5535502,0.5981204,0.6487348,0.4432495,0.0005139,0.5115712,0.5712733,0.5196629,0.6531716,0.0694581,0.6450377,0.0246626,0.6382555,0.361484,0.7107785,0.0204427,0.0365117,0.4304069,0.0345047,0.6868614,0.5544049,0.0045882,0.4766365,0.5414564,0.6270045,0.0261025,0.2764294,0.3560965,0.1406212,0.7201249,0.0125652,0.4589555,0.5011051,0.6546354,0.0467134,0.6072253,0.6750965,0.0613037,0.6598593,0.6320141,0.0027625,0.6227953,0.4598006,0.5623024,0.5287144,0.3881227,0.5862034,0.733023,0.5537375,0.4902553,0.6539133,0.1150566,0.3232493,0.6438993,0.0423355,0.264656,0.422751,0.0370808,0.4794909,0.4969371,0.6556554,0.0002922,0.6745235,0.1228031,0.0008222,0.5923718,0.6284512,0.0859145,0.7269605,0.2520411,0.4372093,0.303142,0.0023444,0.0113582,0.0316736,0.1040786,0.6366503,0.6136218,0.6767881,0.2564874,0.6591354,0.1765887,0.0325649,0.0010858,0.5617275,0.446104,0.0251905,0.2695883,0.3238987,0.6040265,0.5440865,0.5566838,0.021304,0.244243
"24",0.1010468,0.6304243,0.6372311,0.0559869,0.2786711,0.1417882,0.4864851,0.266493,0.6471426,0.4801676,0.0003073,0.5288304,0.6614192,0.6983167,0.6170105,0.0420221,0.7083376,0.0189866,0.5364022,0.4647831,0.7197312,0.0414869,0.0387957,0.1804297,0.0395011,0.6803713,0.5570356,0.1111021,0.5650053,0.3843096,0.7291664,0.0276857,0.0824327,0.263258,0.4175042,0.4887046,0.0090753,0.5172217,0.5134668,0.2217867,0.0561209,0.5676194,0.638108,0.071129,0.4868111,0.3933876,0.0068729,0.4897217,0.5139121,0.5500911,0.5468722,0.3114819,0.5932295,0.3438175,0.6854667,0.6102538,0.5632364,0.190171,0.4591861,0.4691913,0.0095484,0.3801755,0.3958711,0.0476997,0.691027,0.5609064,0.5608823,1.4e-06,0.5733032,0.0540801,0.000439,0.4593083,0.7224977,0.0886462,0.7355214,0.3289434,0.3013231,0.3263848,0.1563432,0.1263287,0.0861195,0.1833583,0.4172125,0.4317287,0.5774088,0.2651748,0.5474023,0.040286,0.0471011,0.000891,0.4843933,0.7015542,0.0208526,0.3202991,0.3750449,0.6098811,0.5193772,0.6900857,0.0335698,0.286265
"26",0.1042009,0.5991136,0.7130097,0.0585251,0.2935272,0.1737013,0.509703,0.4287447,0.6358471,0.477934,0.0001807,0.4298455,0.7329739,0.5556475,0.5736579,0.0923123,0.7268377,0.0021095,0.5592472,0.3536956,0.6281083,0.0414204,0.0396567,0.1970027,0.0860242,0.5156536,0.6445375,0.230227,0.3930707,0.2515458,0.6557661,0.0656807,0.0308653,0.0802864,0.3110341,0.2151532,0.009102,0.5192327,0.5820811,0.1414936,0.072092,0.6460571,0.5943366,0.0643558,0.7705547,0.329953,0.0053099,0.4261017,0.4215543,0.4249973,0.5181667,0.2554914,0.6091875,0.29289,0.7176889,0.4765049,0.5161058,0.1422659,0.3878623,0.6494618,0.0104838,0.4232394,0.4584418,0.033184,0.6023464,0.5223871,0.5478125,0.0004069,0.5725139,0.0104376,0.0001182,0.251442,0.7654823,0.0790757,0.5061689,0.3075519,0.2832203,0.3048435,0.1116445,0.066817,0.0843792,0.2869423,0.3142681,0.3389918,0.641858,0.3143039,0.6225739,0.1633279,0.0536471,0.0069473,0.4360682,0.650714,0.0143779,0.2076193,0.4815476,0.5907989,0.5749379,0.7596624,0.0225471,0.2181633
"28",0.1750851,0.6830289,0.7170639,0.0783103,0.1949167,0.3596748,0.6106333,0.2942059,0.5466033,0.4653419,4.84e-05,0.568701,0.7090396,0.5194104,0.6817886,0.0544376,0.6710446,4.81e-05,0.6111077,0.3932364,0.6760501,0.0292915,0.0636536,0.1604035,0.063444,0.6114254,0.6096646,0.2481939,0.2715733,0.3246861,0.5514197,0.0411142,0.0091924,0.0636169,0.3104708,0.0737076,0.0087056,0.5798631,0.6184898,0.148249,0.1156948,0.5373102,0.4989177,0.0489367,0.507659,0.3535909,0.0102579,0.4722665,0.491669,0.4063956,0.479515,0.229435,0.6995504,0.3167462,0.6140147,0.4981418,0.4001767,0.0775188,0.3730816,0.5174921,0.0154545,0.5102346,0.3829747,0.0380987,0.6279613,0.5991426,0.6587882,0.000981,0.7436653,0.0132881,0.0001187,0.2533519,0.539932,0.1180927,0.6978054,0.3116453,0.1738847,0.3092923,0.1170566,0.0290875,0.1300519,0.3389397,0.366422,0.3840207,0.6375982,0.3164838,0.5305504,0.1468792,0.0372781,0.0251947,0.3810102,0.665087,0.0110466,0.2973374,0.509134,0.615201,0.4862769,0.6515193,0.0113679,0.316593
"30",0.1163071,0.6451369,0.558778,0.1006462,0.2899562,0.308324,0.5487609,0.2030401,0.7915426,0.4128914,3.47e-05,0.6229827,0.6126175,0.4650759,0.6557842,0.0605604,0.5400055,7.88e-05,0.6536498,0.4209996,0.6879957,0.0548481,0.0516675,0.1700397,0.0344737,0.5354239,0.5355103,0.2495868,0.3670643,0.2612197,0.4903683,0.0516531,0.0065107,0.0476775,0.3314145,0.0600638,0.0024152,0.5524429,0.6133249,0.1205502,0.1042913,0.6589227,0.6305571,0.0798541,0.629421,0.3467916,0.0089425,0.2756895,0.5199992,0.4339588,0.4914288,0.1585904,0.6141798,0.3366581,0.7111574,0.4592035,0.4690684,0.052457,0.4722167,0.5488947,0.0083215,0.4248119,0.3288419,0.0365991,0.4109092,0.5202427,0.4882088,2.55e-05,0.606701,0.0009747,0.0015588,0.2408812,0.668342,0.0316835,0.6174064,0.3500404,0.207557,0.2657249,0.1706775,0.1278278,0.1430344,0.4128364,0.131707,0.3353684,0.6875455,0.2159006,0.6172775,0.1674519,0.0552137,0.0273029,0.3424301,0.6159436,0.014616,0.202299,0.3477905,0.5829203,0.5704095,0.7994195,0.0206128,0.2495083
"32",0.1256827,0.487502,0.7016103,0.0510905,0.3808278,0.3387033,0.5878551,0.2439723,0.6064977,0.4407651,0.000349,0.6515478,0.7331804,0.5668197,0.6836284,0.0539578,0.611384,0.0003817,0.656968,0.3797527,0.5832673,0.0513278,0.028723,0.2332952,0.0500524,0.4814458,0.494758,0.1984739,0.451559,0.27755,0.5765576,0.0358632,0.0110405,0.0191675,0.354492,0.0393105,0.0062003,0.4427954,0.4918551,0.1420969,0.0846462,0.6949635,0.5620708,0.0617209,0.5917631,0.3259756,0.0171656,0.3084569,0.5495589,0.4575055,0.604569,0.1987072,0.5422992,0.341003,0.6614448,0.445022,0.4728456,0.3363719,0.4973084,0.5470547,0.0354341,0.4667116,0.3269182,0.0440083,0.5086047,0.5181741,0.5074137,0.0061514,0.6490119,0.0188635,0.00031,0.2539055,0.7510587,0.0349041,0.6438379,0.3667782,0.3614241,0.3098498,0.1536279,0.1350584,0.1162569,0.3423444,0.0511107,0.4039659,0.6399464,0.3414898,0.6954649,0.1536745,0.0633815,0.0272774,0.3963294,0.7071072,0.0108777,0.1855887,0.3964694,0.521619,0.4008966,0.6221592,0.0269802,0.3012935
"34",0.0503964,0.6195387,0.6946738,0.0792774,0.4116455,0.2474845,0.6081897,0.4239452,0.6823287,0.5908774,8.6e-05,0.4513572,0.6032849,0.5969712,0.6291267,0.0509154,0.5840413,0.0401277,0.6936544,0.4350605,0.636867,0.038303,0.0220974,0.3632093,0.0501454,0.610002,0.5861305,0.1518541,0.3291629,0.5199349,0.6751577,0.0154564,0.0139905,0.0473138,0.1869907,0.1173462,0.0101825,0.4464818,0.607594,0.6491179,0.0622379,0.560933,0.6140901,0.0790499,0.5768906,0.5726437,0.0055293,0.4176404,0.5432579,0.6266523,0.6461923,0.2070039,0.5858699,0.6635643,0.6513171,0.5467105,0.5086877,0.4051365,0.3686244,0.5345947,0.0273062,0.30471,0.4036109,0.03167,0.6640607,0.4568325,0.5294221,0.0014239,0.6280511,0.043772,0.0277145,0.5744126,0.6454744,0.0363225,0.7121708,0.4353215,0.441786,0.2210659,0.005737,0.1764041,0.0481032,0.3997204,0.2489752,0.5257468,0.5615478,0.2265299,0.6403085,0.1475106,0.0295975,0.0193156,0.5932162,0.7243208,0.0107558,0.2459076,0.3520005,0.5990492,0.5770888,0.647067,0.0132621,0.3121163
"36",0.0963841,0.5819169,0.6213203,0.0961918,0.2514124,0.2284895,0.5908397,0.4602806,0.6379441,0.5444558,0.0007883,0.4183522,0.5499236,0.4988046,0.5651704,0.0674335,0.5578282,0.0181769,0.6170433,0.3381977,0.5836191,0.0206334,0.0335622,0.3301918,0.051838,0.5980867,0.5559239,0.0945083,0.3077662,0.6389864,0.5878205,0.0231116,0.0135309,0.0405013,0.2911906,0.1370452,0.007741,0.4388901,0.6590402,0.576461,0.2436939,0.5569515,0.7354112,0.1763264,0.5729499,0.6252308,9.7e-05,0.4246788,0.5137813,0.5748341,0.5847567,0.3079943,0.6695735,0.6356022,0.6695921,0.6480199,0.594745,0.1560776,0.4004275,0.4886176,0.0117317,0.2785412,0.4104908,0.0216014,0.6275951,0.5572559,0.5409424,0,0.7536545,0.0608648,0,0.6740768,0.6642747,0.0429281,0.6439006,0.2715877,0.3463404,0.324884,0.0033209,0.0241401,0.0500302,0.2510266,0.4998687,0.5332305,0.6409412,0.2400994,0.6607616,0.1993503,0.0416901,0.0193113,0.6642602,0.6562303,0.0159052,0.3071741,0.438496,0.5173663,0.509736,0.6722383,0.0091806,0.1974848
"38",0.1594027,0.5715679,0.6152324,0.1100582,0.2523104,0.3088161,0.5289227,0.3124106,0.6636128,0.3453943,0.0001836,0.5009038,0.6507054,0.6470352,0.5409915,0.0651437,0.5614739,0.0196086,0.5731007,0.4290482,0.632627,0.0156199,0.0446447,0.3892961,0.0730665,0.522144,0.4301092,0.0625062,0.2219144,0.6281397,0.5767858,0.0420337,0.014733,0.1379362,0.2512769,0.5239916,0.0052259,0.4103655,0.5590108,0.5369085,0.0538444,0.518279,0.6127651,0.0523398,0.6986141,0.6717949,0.000246,0.4258447,0.5512016,0.6338617,0.4569443,0.3994656,0.5395715,0.7074781,0.7203809,0.4849909,0.4851724,0.0465145,0.4256961,0.5305753,0.0069491,0.2962266,0.3455813,0.0337596,0.6409236,0.5423475,0.5102907,3.29e-05,0.6654155,0.0581441,0.0010451,0.5616832,0.5689306,0.0756943,0.5215575,0.3014775,0.3290493,0.2671186,0.0007749,0.0128253,0.013469,0.3096406,0.4924392,0.5544837,0.587703,0.2987182,0.7876977,0.1872083,0.032787,0.0062111,0.6741473,0.5672018,0.0105054,0.281365,0.412582,0.5457062,0.5219467,0.5730717,0.0114591,0.2340297
"40",0.1086746,0.6434064,0.6494929,0.0672117,0.3336038,0.2569449,0.5220315,0.4574189,0.5327925,0.4681634,0.0020999,0.5733662,0.5298911,0.5577586,0.5832378,0.0422418,0.5669502,0.064814,0.6327705,0.3633285,0.5180254,0.0282714,0.0599342,0.347548,0.0412686,0.6173099,0.460423,0.035529,0.3300584,0.6564938,0.6471686,0.0131882,0.0985028,0.1942582,0.3425687,0.5392292,0.0420381,0.4252036,0.5747543,0.639822,0.0277916,0.6057815,0.5273943,0.0540229,0.6329295,0.5198804,0.0007994,0.5686623,0.4801507,0.5613997,0.5289021,0.3320544,0.6090234,0.739826,0.6093655,0.5145816,0.5519075,0.0420054,0.3447326,0.5010277,0.0047857,0.2056007,0.398081,0.0215659,0.5783802,0.6825051,0.5316176,8.26e-05,0.6961021,0.0741548,0.0001134,0.6723362,0.6410719,0.0523812,0.5622252,0.1905301,0.3942398,0.2074566,0.0124541,0.0132248,0.0054989,0.26301,0.6393838,0.5866528,0.6709888,0.2460413,0.6302563,0.2270642,0.0437636,0.0009813,0.6302524,0.5827103,0.0153699,0.3158476,0.4333314,0.621279,0.6247914,0.5372048,0.0121925,0.254481
