"G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50"
"2227",0.6057744,0.6810643,0.6093746,0.6910414,0.7421332,0.6058621,0.552267,0.6382046,0.5934757,0.4798964,0.6449822,0.0702111,0.1063176,0.6987595,0.6023466,0.0005965,0.6499662,0.6621847,0.6897832,0.0018233,0.7537592,0.0219408,0.6546421,0.5742055,0.0860443,0.0402542,0.6270871,0.6235614,0.4743548,0.605625,0.58866,0.6173322,0.4906257,0.2597578,0.1092726,0.0324954,0.3585388,0.1649756,0.3601472,0.2873783,0.2619241,0.3760167,0.3784536,0.5801638,0.5600296,0.000833,0.5845517,0.6427676,0.6181419,0.7173641
"2237",0.7028895,0.6199327,0.6304767,0.1192848,0.6450441,0.2679226,0.2860995,0.3795908,0.1701164,0.2388638,0.2056084,0.0517951,0.3398251,0.6976503,0.2436851,0.0035253,0.6649962,0.6416941,0.377454,0.0869621,0.5193296,0.4005244,0.3533686,0.0898818,0.0124443,0.0607882,0.4276161,0.5908964,0.0035209,0.6780507,0.2538991,0.5749762,0.7013218,2.64e-05,0.0425211,0.059228,0.3421215,0.0006075,0.5407398,0.0030661,0.696195,0.6863778,0.0215833,0.6973765,0.5378052,0.6114244,0.4546651,0.6224743,0.5803353,0.7291459
"8800",0.8336304,0.5747449,0.6173903,0.5752701,0.7337895,0.5375948,0.5758694,0.648845,0.7239792,0.4944964,0.7335054,0.0668242,0.0994686,0.6660286,0.5417969,0.0027856,0.6682023,0.7197186,0.6169622,0.0003349,0.5932115,0.0425224,0.6848919,0.7304731,0.0796811,0.0303225,0.6156022,0.744544,0.457204,0.6500435,0.6348603,0.5858333,0.5021295,0.2256149,0.0883976,0.0274559,0.4247495,0.2444709,0.2828063,0.3354168,0.2191602,0.3882935,0.3673103,0.6503946,0.6592535,0.000899,0.578906,0.6904525,0.6386987,0.7676506
"8810",0.6340076,0.6628995,0.4771982,0.1409185,0.6072561,0.3638042,0.298833,0.5680383,0.4317115,0.1687272,0.5262068,0.0259495,0.0243291,0.7453282,0.1594577,0.0021679,0.6858093,0.6293617,0.6781615,0.0008971,0.5977193,0.0434753,0.6824074,0.6594314,0.0335351,0.0505342,0.5144363,0.5632161,0.169445,0.6026809,0.6565859,0.5149556,0.3587741,0.2247071,0.0309624,0.0106906,0.3551901,0.0349233,0.689381,0.4283749,0.5515378,0.5933295,0.1447568,0.7206861,0.6526508,0.0080881,0.5400345,0.6457718,0.5995385,0.6211011
"8905",0.6504462,0.695084,0.7257813,0.6677081,0.7640348,0.6224948,0.6044908,0.7834138,0.6155722,0.5595866,0.6137824,0.117112,0.0818543,0.6886179,0.6035279,0.0026898,0.5900638,0.684171,0.6350527,0.0021843,0.6769369,0.0564207,0.6339164,0.6363233,0.0687242,0.0265688,0.6186744,0.6588172,0.4315667,0.6425753,0.6171251,0.5709724,0.5598999,0.1926492,0.0493163,0.0296063,0.3183528,0.1763364,0.3211816,0.3855021,0.264984,0.4019708,0.3482062,0.5739218,0.5671668,0.0030736,0.5935051,0.6122898,0.6297279,0.7829004
"8915",0.5721399,0.5371357,0.6011857,0.0628556,0.4993838,0.1233655,0.1547897,0.1375408,0.2605449,0.1457209,0.1421443,0.1800977,0.2489177,0.5276537,0.0155258,0.00084,0.5890713,0.6386912,0.5568886,0.0021174,0.6315622,0.0239251,0.4157532,0.5750056,0.0249575,0.0018517,0.4538693,0.7186053,0.3768673,0.6310807,0.5767414,0.6230336,0.0871298,0.2857351,0.0503526,0.0479812,0.3189657,0.170525,0.1272653,0.2586937,0.2138621,0.1966747,0.4286555,0.6613559,0.1245329,0.0018493,0.7108917,0.7463254,0.5166485,0.0134485
"9535",0.6805876,0.7094245,0.6865922,0.7570967,0.7462446,0.6246308,0.5833893,0.592601,0.7321812,0.6129146,0.6047188,0.1264144,0.0854665,0.6823725,0.4957202,0.0010056,0.7589599,0.8425986,0.6643378,0.0014444,0.6420447,0.0734488,0.6350259,0.5982053,0.0942444,0.0398004,0.7109145,0.6299681,0.4566134,0.6832152,0.6125728,0.5304924,0.5431815,0.2826539,0.0596352,0.0211537,0.3899638,0.1632369,0.3018779,0.4196532,0.2291378,0.3509301,0.3275343,0.6591916,0.5825582,0.0090104,0.6976894,0.6090476,0.6498544,0.7255869
"9545",0.6238357,0.568881,0.653877,0.6130061,0.6513032,0.5916855,0.6025571,0.6614806,0.6353929,0.4966687,0.7116855,0.0633832,0.133145,0.5949155,0.4580798,0.0012889,0.6036988,0.7046471,0.4931254,4.1e-06,0.6384984,0.2154121,0.5638797,0.5050212,0.0872564,0.0453872,0.4927317,0.5873248,0.510949,0.6821589,0.5848768,0.5282363,0.5799753,0.0013868,0.1995903,0.0350058,0.233577,0.0004484,0.5829015,0.6640217,0.7137853,0.2501563,0.629734,0.5619961,0.7583358,0.5578586,0.0043067,0.6727211,0.5203536,0.3237715
"11173",0.6274593,0.7593246,0.7212062,0.7667957,0.6267253,0.6054157,0.4948134,0.6126353,0.6727718,0.5715118,0.7529047,0.0963197,0.07577,0.7055244,0.4997651,0.001768,0.6686393,0.8396233,0.6775492,0.0003489,0.6736447,0.0350769,0.6310661,0.6019014,0.0935843,0.0356573,0.5906259,0.7836751,0.4863545,0.7054888,0.7836876,0.5772949,0.577633,0.2565651,0.0991019,0.0268371,0.4769458,0.2061329,0.2431041,0.3734012,0.2734689,0.3723548,0.2801714,0.6380232,0.6204538,0.0071899,0.6504656,0.6278367,0.6037541,0.7311579
"11183",0.0745471,0.5896418,0.0863073,0.5631988,0.6092936,0.6363251,0.558901,0.6365883,0.6248774,0.6292457,0.62053,0.0017735,0.0800149,0.6747232,0.631002,0,0.6050142,0.7527738,0.5820514,0.0018447,0.4702274,0.0591913,0.4852582,0.5848043,0.0801255,0.035034,0.4905953,0.5622149,0.6481967,0.6478493,0.5695024,0.6400503,0.1507949,0.1570936,0.0555576,0.0227254,0.4173827,0.0097786,0.5974226,0.5810241,0.3980488,0.7503435,0.2717731,0.601078,0.7219396,0.0693955,0.1157737,0.6449699,0.5562059,0.6072741
