"G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50"
"295",0.5562648,0.7542593,0.0445791,0.4438632,0.0201181,0.7086995,0.2529983,0.0196737,0.0131535,0.0234242,0.4252481,0.2504452,0.662563,0.225608,0.0330112,0.4291053,0.3336783,0.016418,0.5089116,0.5258349,5.33e-05,0.0037682,0.0714985,0.0102601,0.6805397,0.628114,0.049262,0.5307322,0.0053218,0.3019509,0.5838215,0.6099206,0.7381602,0.1104829,0.5496597,0.7047275,0.6212626,0.6648765,0.2030206,0.3767731,0.5719838,0.560012,0.0399576,0.681639,0.5785359,0.6237822,0.1903602,0.4532647,0.6169911,0.6042751
"297",0.7320223,0.5473679,0.0159222,0.491748,0.0141223,0.5848365,0.2762734,0.0239001,0.0713411,0.0277418,0.4310289,0.2850592,0.3700698,0.3438024,0.0455841,0.1924176,0.3711513,0.0075683,0.4242383,0.5236553,0,0.2770994,0.0673502,0.0311471,0.6833972,0.6127,0.2667515,0.5249485,0.000257,0.2230225,0.5504827,0.6084373,0.5130724,0.1197424,0.7140614,0.4859101,0.3533932,0.5592626,0.5414349,0.4640809,0.5077915,0.5562408,0.0722517,0.5655306,0.5589004,0.5999884,0.2130849,0.5794628,0.5639683,0.5420713
"299",0.6105342,0.5758196,0.0252706,0.5586793,0.0271756,0.5615359,0.2683458,0.0176699,0.1047381,0.0260758,0.4180999,0.3717557,0.3227498,0.3082035,0.0274966,0.3353215,0.4274587,0.0033625,0.4668956,0.6138049,5.42e-05,0.2186365,0.139023,0.0346598,0.5016034,0.649156,0.3370365,0.5294758,7.24e-05,0.291953,0.6611904,0.6005558,0.5611928,0.0557142,0.7247119,0.5397375,0.2260449,0.6224238,0.4952375,0.4230667,0.5649352,0.6402429,0.0725153,0.5281746,0.529477,0.545289,0.2532663,0.5498265,0.4055925,0.7975852
"301",0.5820296,0.5667663,0.0036021,0.5838494,0.0183423,0.6299172,0.2231657,0.0510823,0.0226198,0.0245681,0.279105,0.2973565,0.4206309,0.3173095,0.0223115,0.2666954,0.3900451,0.0048392,0.4150347,0.5200444,8.22e-05,0.2501174,0.1081098,0.0526991,0.6268043,0.5400097,0.3777408,0.4537871,0.001325,0.1804731,0.6869098,0.6027134,0.6679452,0.0734927,0.5679862,0.4828591,0.2042967,0.6104356,0.4112972,0.3937554,0.509732,0.6506281,0.0598674,0.607396,0.5167308,0.5576657,0.2059467,0.5568727,0.4170023,0.6041857
"303",0.6500328,0.5417176,0.0116558,0.5372536,0.0036009,0.564286,0.2652692,0.0295768,0.0719456,0.0187968,0.3972073,0.256746,0.3401572,0.4141576,0.0518968,0.2768601,0.4212815,0.0107105,0.3864239,0.5722114,6.9e-06,0.2635425,0.1273045,0.0348379,0.6540969,0.654154,0.3572584,0.4724801,0.0007458,0.2046362,0.6868563,0.6770819,0.5339862,0.0754756,0.6228095,0.5411173,0.2501621,0.6348653,0.6194761,0.3988908,0.5567256,0.6667736,0.0849777,0.4943619,0.5753603,0.7160985,0.1812712,0.4912184,0.4641518,0.7085626
"305",0.6418434,0.5877056,0.0153774,0.5184248,0.0109876,0.5423138,0.2999342,0.0145797,0.0632864,0.0294752,0.3916893,0.2336288,0.3472434,0.5306422,0.0535749,0.3476742,0.3707257,0.0013682,0.4420443,0.5303848,9.41e-05,0.3236204,0.1779392,0.0143977,0.6284633,0.5365795,0.4456878,0.5652747,5.24e-05,0.1851065,0.6344575,0.6716317,0.5200442,0.0439076,0.6131959,0.4506271,0.2667823,0.7222321,0.4326816,0.3020671,0.4847481,0.5761521,0.0491839,0.4589456,0.5320004,0.6117763,0.2196533,0.559299,0.4795638,0.5991316
"307",0.6708309,0.506977,0.0483084,0.2942571,0.0126527,0.4289828,0.3326279,0.0289083,0.0109003,0.0463046,0.5078352,0.2981214,0.5839324,0.178952,0.0285002,0.4752538,0.3588266,0.0136407,0.4232213,0.5803571,0,0.0236964,0.1549708,0.0175674,0.6781521,0.6755644,0.0434019,0.5491495,0.0135633,0.2512121,0.6291067,0.6404284,0.6197649,0.0581597,0.6018801,0.6213454,0.3742752,0.6101086,0.1665173,0.2713099,0.5977494,0.5951439,0.085402,0.5725947,0.5359509,0.6410086,0.1819816,0.4378804,0.5983038,0.5643754
"309",0.5836538,0.574695,0.0460633,0.3132281,0.017837,0.4840123,0.3582794,0.012175,0.0286747,0.0158061,0.3609646,0.3292556,0.6006213,0.2767856,0.0163238,0.3920264,0.3926311,0.007224,0.4731863,0.6723608,0.0018586,0.0250721,0.1444983,0.0194434,0.7556951,0.5799036,0.0997615,0.4797643,0.0162072,0.2457678,0.6102762,0.7323367,0.6560622,0.0678643,0.669069,0.6167772,0.6988567,0.5368084,0.2385774,0.3985274,0.676807,0.5856187,0.0348613,0.6637311,0.6335935,0.6490749,0.150498,0.4762122,0.6545522,0.6944033
"311",0.659135,0.5191228,0.0295417,0.4576405,0.0398421,0.6264647,0.2351686,0.0161773,0.0213679,0.0458365,0.4144035,0.2332061,0.6202558,0.2781974,0.0318174,0.4943815,0.3412398,0.0068752,0.4699214,0.5634539,0.0003058,0.0032558,0.0995608,0.0269937,0.6573989,0.5689872,0.0288862,0.5765462,0.0094335,0.2347034,0.5536527,0.6055696,0.6839193,0.0509577,0.6096327,0.6130715,0.5870586,0.6417628,0.206551,0.3305188,0.6992244,0.6392908,0.0477937,0.7356258,0.5864151,0.6794874,0.1598081,0.5192697,0.6216822,0.554723
"313",0.6368262,0.5880936,0.0096031,0.3555612,0.0240466,0.5040978,0.193733,0.028203,0.0379092,0.0517259,0.4068966,0.2509852,0.531727,0.2756267,0.0282136,0.377795,0.4658353,0.0048863,0.4408194,0.5793563,0.0004491,0.0051498,0.1374279,0.0404875,0.5908822,0.6802272,0.0454017,0.6633786,0.0543454,0.2226869,0.6329308,0.7211888,0.6666104,0.064837,0.6682222,0.7438158,0.6351817,0.5810601,0.1789703,0.403402,0.695975,0.731474,0.0640039,0.5959423,0.666637,0.698645,0.2282592,0.4973776,0.7006058,0.6538537
"715",0.7584128,0.6377492,0.035034,0.3995831,0.0104793,0.5581942,0.2584593,0.0029224,0.0110803,0.0379517,0.4492135,0.2813185,0.5851033,0.2803732,0.0319028,0.6185255,0.3695938,0.013342,0.54111,0.5985805,3.95e-05,0.006897,0.0864826,0.0247969,0.6598305,0.6067944,0.029775,0.5259531,0.003438,0.2899881,0.6010339,0.5736594,0.6558015,0.0899026,0.6397256,0.7061732,0.6675321,0.6933341,0.2197443,0.3407312,0.6037265,0.6381048,0.0579188,0.7538614,0.659714,0.7473045,0.19353,0.5239846,0.63039,0.6492327
