"","x"
"1",0
"2",50
"3",100
"4",150
"5",200
"6",250
"7",300
"8",350
"9",400
"10",450
"11",500
"12",550
"13",600
"14",650
"15",700
"16",750
"17",800
"18",850
"19",900
"20",950
"21",0
"22",50
"23",100
"24",150
"25",200
"26",250
"27",300
"28",350
"29",400
"30",450
"31",500
"32",550
"33",600
"34",650
"35",700
"36",750
"37",800
"38",850
"39",900
"40",950
"41",0
"42",50
"43",100
"44",150
"45",200
"46",250
"47",300
"48",350
"49",400
"50",450
"51",500
"52",550
"53",600
"54",650
"55",700
"56",750
"57",800
"58",850
"59",900
"60",950
"61",0
"62",50
"63",100
"64",150
"65",200
"66",250
"67",300
"68",350
"69",400
"70",450
"71",500
"72",550
"73",600
"74",650
"75",700
"76",750
"77",800
"78",850
"79",900
"80",950
"81",0
"82",50
"83",100
"84",150
"85",200
"86",250
"87",300
"88",350
"89",400
"90",450
"91",500
"92",550
"93",600
"94",650
"95",700
"96",750
"97",800
"98",850
"99",900
"100",950
"101",0
"102",50
"103",100
"104",150
"105",200
"106",250
"107",300
"108",350
"109",400
"110",450
"111",500
"112",550
"113",600
"114",650
"115",700
"116",750
"117",800
"118",850
"119",900
"120",950
"121",0
"122",50
"123",100
"124",150
"125",200
"126",250
"127",300
"128",350
"129",400
"130",450
"131",500
"132",550
"133",600
"134",650
"135",700
"136",750
"137",800
"138",850
"139",900
"140",950
"141",0
"142",50
"143",100
"144",150
"145",200
"146",250
"147",300
"148",350
"149",400
"150",450
"151",500
"152",550
"153",600
"154",650
"155",700
"156",750
"157",800
"158",850
"159",900
"160",950
"161",0
"162",50
"163",100
"164",150
"165",200
"166",250
"167",300
"168",350
"169",400
"170",450
"171",500
"172",550
"173",600
"174",650
"175",700
"176",750
"177",800
"178",850
"179",900
"180",950
"181",0
"182",50
"183",100
"184",150
"185",200
"186",250
"187",300
"188",350
"189",400
"190",450
"191",500
"192",550
"193",600
"194",650
"195",700
"196",750
"197",800
"198",850
"199",900
"200",950
"201",0
"202",50
"203",100
"204",150
"205",200
"206",250
"207",300
"208",350
"209",400
"210",450
"211",500
"212",550
"213",600
"214",650
"215",700
"216",750
"217",800
"218",850
"219",900
"220",950
"221",0
"222",50
"223",100
"224",150
"225",200
"226",250
"227",300
"228",350
"229",400
"230",450
"231",500
"232",550
"233",600
"234",650
"235",700
"236",750
"237",800
"238",850
"239",900
"240",950
"241",0
"242",50
"243",100
"244",150
"245",200
"246",250
"247",300
"248",350
"249",400
"250",450
"251",500
"252",550
"253",600
"254",650
"255",700
"256",750
"257",800
"258",850
"259",900
"260",950
"261",0
"262",50
"263",100
"264",150
"265",200
"266",250
"267",300
"268",350
"269",400
"270",450
"271",500
"272",550
"273",600
"274",650
"275",700
"276",750
"277",800
"278",850
"279",900
"280",950
"281",0
"282",50
"283",100
"284",150
"285",200
"286",250
"287",300
"288",350
"289",400
"290",450
"291",500
"292",550
"293",600
"294",650
"295",700
"296",750
"297",800
"298",850
"299",900
"300",950
"301",0
"302",50
"303",100
"304",150
"305",200
"306",250
"307",300
"308",350
"309",400
"310",450
"311",500
"312",550
"313",600
"314",650
"315",700
"316",750
"317",800
"318",850
"319",900
"320",950
"321",0
"322",50
"323",100
"324",150
"325",200
"326",250
"327",300
"328",350
"329",400
"330",450
"331",500
"332",550
"333",600
"334",650
"335",700
"336",750
"337",800
"338",850
"339",900
"340",950
"341",0
"342",50
"343",100
"344",150
"345",200
"346",250
"347",300
"348",350
"349",400
"350",450
"351",500
"352",550
"353",600
"354",650
"355",700
"356",750
"357",800
"358",850
"359",900
"360",950
"361",0
"362",50
"363",100
"364",150
"365",200
"366",250
"367",300
"368",350
"369",400
"370",450
"371",500
"372",550
"373",600
"374",650
"375",700
"376",750
"377",800
"378",850
"379",900
"380",950
"381",0
"382",50
"383",100
"384",150
"385",200
"386",250
"387",300
"388",350
"389",400
"390",450
"391",500
"392",550
"393",600
"394",650
"395",700
"396",750
"397",800
"398",850
"399",900
"400",950
"401",0
"402",50
"403",100
"404",150
"405",200
"406",250
"407",300
"408",350
"409",400
"410",450
"411",500
"412",550
"413",600
"414",650
"415",700
"416",750
"417",800
"418",850
"419",900
"420",950
"421",0
"422",50
"423",100
"424",150
"425",200
"426",250
"427",300
"428",350
"429",400
"430",450
"431",500
"432",550
"433",600
"434",650
"435",700
"436",750
"437",800
"438",850
"439",900
"440",950
"441",0
"442",50
"443",100
"444",150
"445",200
"446",250
"447",300
"448",350
"449",400
"450",450
"451",500
"452",550
"453",600
"454",650
"455",700
"456",750
"457",800
"458",850
"459",900
"460",950
"461",0
"462",50
